Sentences,Presidential_Candidate,State,Vote_1,Vote_2,Final_Sent,Predicted_Sent
But it's why we don't need the Trump strategy of tax cuts for the rich and import taxes for the rest of us.,Donald Trump,Michigan,-1,1,-1,0
And then you know Trump has always run as an economic populist since he walked down that golden escalator nine years ago I guess almost a decade since he's been on the political scene.,Donald Trump,Pennsylvania,-1,0,0,0
"A new ABC News poll among likely voters has Harris up by four points, 51% to 47%.",Kamala Harris,Michigan,1,0,1,0
The Trump doesn't have a message.,Donald Trump,Arizona,-1,0,-1,-1
And I can share with you he has got a tremendous support from the Muslim community.,Donald Trump,Michigan,1,1,1,1
And I'm definitely doubting Michigan as it pertains to Kamala Harris.,Kamala Harris,Michigan,-1,1,-1,-1
"Consider, Donald Trump has openly vowed if re-elected he'll be a dictator on day one.",Donald Trump,Michigan,-1,0,-1,-1
His detractors view him as a threat to democratic norms and institutions.,Donald Trump,Michigan,-1,-1,-1,-1
"He says he's going to take another question, then changes his mind and then calls Democrats evil.",Donald Trump,Pennsylvania,-1,-1,-1,-1
And most people don't like Donald Trump's personality.,Donald Trump,Arizona,1,-1,-1,-1
"David Plouffe, who's working for the Harris campaign, says all seven swing states are within one point.",Kamala Harris,Michigan,0,0,0,0
"No, no one should expect that, but if the early voting trends continue and the polls continue trending the way they are, would it really be crazy to suggest that maybe Trump's going to win Arizona by some crazy margin compared to 2020: it's entirely possible.",Donald Trump,Arizona,1,1,1,1
We're going to carry the top of the ticket with Trump and with Mike Rogers.,Donald Trump,Michigan,1,1,1,1
But the Harris campaign cannot get overconfident.,Kamala Harris,Pennsylvania,0,0,0,-1
There's a reason why he's not releasing his medical records anyway.,Donald Trump,Arizona,-1,0,-1,-1
"And when we look at the aggregate, we see Trump is up by half a percent.",Donald Trump,Michigan,1,0,1,1
He was up seven Bruce.,Donald Trump,Arizona,1,0,1,1
He requires one more state only.,Donald Trump,Arizona,1,0,1,0
"I think Kamala Harris and her VP pick are much more hopeful and positive for everybody, so I'm looking forward to November.",Kamala Harris,Arizona,1,1,1,1
Her campaign could benefit from emphasizing the importance of accessible health care and economic opportunities for all Nevadans.,Kamala Harris,Pennsylvania,1,1,1,1
"For Harris, the challenge will be to maintain and expand her lead among key voter groups, including young voters and minorities, while also appealing to independent voters who may be swayed by economic messages.",Kamala Harris,Pennsylvania,0,1,0,1
"For weeks, young people have been sharing memes across social media highlighting Harris's speeches and affectations.",Kamala Harris,Michigan,1,1,1,0
"Here's the thing, if MSNBC reported more like CNN, and this is not an endorsement of the fairness of CNN, although I will tell you I do not over and over again see CNN hosts banging away at Trump's dictator with spittle flying from their mouths the same way I do on MSNBC.",Donald Trump,Pennsylvania,-1,0,-1,-1
Kamala Harris is copping a lot of heat for that because she's part of the current administration.,Kamala Harris,Michigan,-1,0,-1,0
"Since then, her margin has slightly decreased, but she continues to hold the upper hand.",Kamala Harris,Michigan,1,1,1,1
"Trump plus three and a half, yeah, we have Trump plus three, Trump plus four out of Arizona from, from Atlas Intel, which most people would agree is one of the best pollsters out there.",Donald Trump,Arizona,1,1,1,1
"Donald Trump and his running mate, J.D, vance, have been targeting these legal immigrants, spreading disinformation and threatening to deport them if they're elected.",Donald Trump,Arizona,1,-1,-1,-1
She will protect abortion access. She will defend our freedom.,Kamala Harris,Arizona,1,1,1,1
And later today we know Harris will be talking to those supporters in Glendale and here we're bringing in our Blake Phillips in studio.,Kamala Harris,Arizona,0,0,0,0
"That Kamala Harris holds a narrow advantage in the state of Michigan, enough that I actually might translate her to winning in that battleground state.",Kamala Harris,Michigan,1,1,1,1
And yet she hasn't really been able to answer that question when it comes to her about how she would be different than Joe Biden.,Kamala Harris,Pennsylvania,-1,0,-1,-1
"That gap can be closed, however, that is Kamala Harris' big play.",Kamala Harris,Michigan,1,1,1,0
"So it looked, if it turns out that it's less than 90% of black women voted for Kamala, then you know, it's real.",Kamala Harris,Pennsylvania,-1,0,0,0
There's no joy when Kamala Harris calls the opposition fascists and Nazis for daring to think that Kamala Harris ought to actually do her job rather than just talking about doing her job.,Kamala Harris,Arizona,-1,-1,-1,-1
"These are defining numbers that are very, very positive for Kamala Harris.",Kamala Harris,Pennsylvania,1,1,1,1
"This is short bus Kamala, basically.",Kamala Harris,Pennsylvania,-1,0,0,0
There's also an ABC News Ipsos poll showing Harris's favorability overall at 43.,Kamala Harris,Michigan,1,0,0,1
Donald Trump talks a good game about that.,Donald Trump,Michigan,1,1,1,1
"These are the 2016 margins of victory, the key states, and how many votes Jill Stein got back then when Donald Trump won 50,000, 30,000, almost 50,000 with Michigan being the top at 51-4.",Donald Trump,Michigan,0,1,0,1
There has never been an individual who is a greater threat to our Republic than Donald Trump.,Donald Trump,Michigan,-1,-1,-1,-1
So January 6th makes Donald Trump absolutely unfit for office.,Donald Trump,Arizona,-1,0,-1,-1
"Kamala Harris on the stage with 100 Republicans, what's that all about: well, look, she is holding an event in Bucks County, Pennsylvania.",Kamala Harris,Pennsylvania,0,1,0,0
"Was Donald Trump's 39 minute spontaneous dance party the closest we are getting to an October surprise: as both campaigns enter the home stretch, there will be no big final debate.",Donald Trump,Michigan,0,1,0,0
And stay with us as we await Vice President Harris's visit to Arizona.,Kamala Harris,Arizona,1,0,0,0
But it comes as Trump is facing controversy over connections to conspiracy theories.,Donald Trump,Arizona,-1,-1,-1,-1
What you've seen under Secretary Raimondo and Kamala Harris is them trying to say that you're only going to get money to manufacture chips if you do what we want you to do politically.,Kamala Harris,Arizona,-1,-1,-1,-1
The Trump force 47 is launching in Arizona with the grand opening of a new office in Phoenix.,Donald Trump,Arizona,-1,1,1,1
"You know, labor supports those that support us, and we are pumped up and excited.",Donald Trump,Michigan,1,1,1,1
"Well, no one's suggesting that she quit, but she does have challenges in Michigan.",Kamala Harris,Michigan,-1,1,-1,0
"And while it hasn't changed, like I said, you know, Michigan Trump was maybe ahead three to five points a month ago and now he's ahead two.",Donald Trump,Michigan,-1,-1,-1,1
She came to talk about economic challenges and what a Harris administration would do to improve their lives.,Kamala Harris,Pennsylvania,0,1,0,0
He is close to the danger zone.,Donald Trump,Arizona,-1,-1,-1,-1
"So, yeah, I mean, she's she's prepared on day one to deal with this issue.",Kamala Harris,Arizona,-1,1,1,0
She'll be a president we can all be proud of.,Kamala Harris,Arizona,1,1,1,1
"Independents, nonpartisan mayors, some Democratic mayors too, all of them endorsing Kamala Harris gives her validity.",Kamala Harris,Arizona,1,0,1,1
"But Trump isn't backing down, he's softening his past rhetoric and even got an endorsement from the Trump Democratic mayor.",Donald Trump,Michigan,1,1,1,0
"Again, he's coming from a business perspective.",Donald Trump,Michigan,0,0,0,0
"When we ask about does this candidate care about people like you, Kamala Harris has an era lead.",Kamala Harris,Michigan,1,1,1,1
"For a while now to a lot of people, I think she's an idea.",Kamala Harris,Michigan,1,0,1,0
"Harris did not take questions from the press, so we could not ask her questions on the topic that is of course a major priority to Arizona voters.",Kamala Harris,Arizona,-1,0,-1,0
"And he is, I believe, an existential threat to America's labor movement.",Donald Trump,Michigan,-1,-1,-1,-1
I think that she's got a ton of momentum.,Kamala Harris,Michigan,1,0,1,1
So I am very confident barring a massive polling list that Donald Trump will get somewhere between 41.6 and 50.9% in the state of Michigan on election night 2024.,Donald Trump,Michigan,1,1,1,1
"Does that surprise you: no, because Donald Trump is going to get the number Donald Trump gets and what we're seeing in this poll is it is Consistently he is polling at 41 42 percent no matter who you put up against him This poll goes on to cover so much more including hot topics like immigration policy and Electric vehicles you can find all of that on our website click on Detroit calm reporting live in Detroit.",Donald Trump,Michigan,0,1,0,0
"Since taking office as vice president, she's attended numerous Divine Nine engagements, including her own sororities boule on July 10.",Kamala Harris,Pennsylvania,0,1,0,0
Arizonans are taking Trump as their only choice.,Donald Trump,Arizona,1,1,1,1
She now backs a bill that funds some new construction but she previously called a wall stupid.,Kamala Harris,Arizona,1,-1,-1,-1
"So you can kind of see how some of these independent voters may prefer a Trump approach to some of these issues, the economy and immigration, those being winning issues for Donald Trump across the swing states.",Donald Trump,Michigan,1,1,1,0
She didn't pick a black woman.,Kamala Harris,Arizona,-1,0,-1,-1
We don't have the local connection with Harris.,Kamala Harris,Pennsylvania,-1,0,0,0
We weren't with Trump. And we were broke with Biden and we weren't with Trump.,Donald Trump,Michigan,1,-1,1,-1
"Chad, finally, when I was watching Donald Trump speak at that factory, I couldn't help but notice the people who were behind him, who were from time to time, they looked a little confused by some of the things.",Donald Trump,Michigan,-1,-1,-1,-1
And they also are doing ads for her.,Kamala Harris,Arizona,1,0,1,0
He got his ways.,Donald Trump,Michigan,1,0,1,1
"While preparing for the debate, a source tells CBS News that Harris and former Secretary of State Hillary Clinton spoke over the phone this weekend.",Kamala Harris,Pennsylvania,0,0,0,0
"If I had to make a prediction, which I'm not in the game of doing, but if I had to make a prediction about are we going to go blue or red in the state of Michigan, I would tell you there are days where I look at the polling numbers, I talk to pollsters on the phone, I talk to people, I talk to politicians, congresspeople, lobbyists, and I feel like, wow, we're looking at a Trump presidency here.",Donald Trump,Michigan,1,1,1,1
She lost the even keel temperament that you're supposed to have to be a president.,Kamala Harris,Michigan,-1,-1,-1,-1
"So that lady basically said, what did Trump do wrong: and she said, well, Covid, you messed up Covid.",Donald Trump,Michigan,-1,-1,-1,-1
"The Harris campaign is all about getting high, big name celebrity sort of endorsers and, you know, making carefully crafted statements and speeches and public events that are meant to signal to this community that Harris would be better.",Kamala Harris,Arizona,1,1,1,1
So Oakland County will be a suburban focus as well for former President Trump before he holds a rally tonight in the city of Detroit.,Donald Trump,Michigan,0,1,0,0
The illustration reflects the confidence within Kamala Harris's party as they navigate the political landscape.,Kamala Harris,Pennsylvania,1,1,1,1
He's not afraid to talk issues and just tell it like it is.,Donald Trump,Pennsylvania,0,1,0,0
I think for Harris it's a prime opportunity right now where she has this moment to really unite a fractured party.,Kamala Harris,Michigan,1,1,1,1
She's a cracker and the more pressure Kamala has the more you see it happening.,Kamala Harris,Arizona,1,-1,1,1
Lin believes that Harris' economic policies will create a fairer financial system and provide more opportunities for individuals to succeed.,Kamala Harris,Pennsylvania,1,1,1,1
"And so I feel as though Donald Trump, he's not the silver bullet that's going to save the country.",Donald Trump,Pennsylvania,-1,0,-1,-1
Kamala Harris will restore those freedoms and protect Roe v. Wade.,Kamala Harris,Arizona,1,1,1,1
Donald Trump is increasingly unstable and unhinged.,Donald Trump,Pennsylvania,-1,-1,-1,-1
Michigan's only boomerang county that backed Obama then Trump then Biden.,Donald Trump,Michigan,0,0,0,1
"Fox News' Nicole Christine was at that event today, and she was hearing from Harris supporters.",Kamala Harris,Arizona,1,0,0,0
"Now, that's not going to be true for everyone, she will get some votes in Dearborn amongst the Muslim community.",Kamala Harris,Michigan,1,1,1,-1
"Based on history, Trump's history, that is, he would be far worse for Gaza than President Biden.",Donald Trump,Michigan,-1,-1,-1,-1
She hasn't risen to a status of an FDR.,Kamala Harris,Michigan,-1,0,-1,-1
She certainly has shown no indication that she's going to go on a freewill interview spree.,Kamala Harris,Pennsylvania,0,1,0,-1
"Back to my previous point, there's such a thing as a good resignation, right: she knew when she pulled out earlier.",Kamala Harris,Pennsylvania,0,1,0,-1
"After controlling for weighted error, Harris' lead increases slightly from 6 over 4% to 6.5%, despite the very tiny polling flaws.",Kamala Harris,Michigan,1,-1,1,1
"Well, you decide, the New York Times released a poll early this morning showing former President Trump has rebuilt his lead in Arizona.",Donald Trump,Arizona,1,1,1,1
She's not in second place.,Kamala Harris,Michigan,-1,0,-1,0
"A very, very tight lead for Kamala Harris right now, just two-tenths of a point, according to the Hill's polling.",Kamala Harris,Michigan,1,0,1,1
"You never know, Trump could have a landslide victory if everything gets put into place.",Donald Trump,Michigan,1,0,1,1
They're not shifting towards Harris.,Kamala Harris,Michigan,-1,0,-1,0
She compared it to big tobacco saying they knew the effects of climate change.,Kamala Harris,Pennsylvania,0,0,0,0
The chance that Kamala Harris wins if she wins Michigan is north of 80%.,Kamala Harris,Michigan,1,1,1,1
"Which means, you know, I don't think she had the same like political rudder that Biden has now, you know, we were happy.",Kamala Harris,Pennsylvania,0,1,0,-1
Everyone will enthusiastically list all the reasons she and other African Americans should support Harris.,Kamala Harris,Michigan,1,1,1,1
So I anticipate we will see her and her running mate frequently here and we'll be on the ground doing everything we can.,Kamala Harris,Michigan,0,0,0,0
"It they understated Trump by a lot until the very end, when by some miracle, the polls became very close.",Donald Trump,Pennsylvania,0,1,0,1
The Harris team is calling this the New Way Forward Tour.,Kamala Harris,Arizona,1,0,0,0
Trump is not an alternative.,Donald Trump,Michigan,-1,0,-1,0
"So the fact that Trump is now leading in Michigan and of all the pollsters, look at Quinnipiac.",Donald Trump,Michigan,1,0,1,1
So yeah they're just not into Kamala Harris.,Kamala Harris,Pennsylvania,-1,1,-1,-1
"The legend, we'll never get one like Trump again.",Donald Trump,Pennsylvania,1,-1,1,-1
They were very pro-President Trump supporters who were here demanding that the votes get counted.,Donald Trump,Arizona,1,1,1,0
Trump wants to cut corporate tax rates.,Donald Trump,Arizona,1,0,0,0
Trump is taking Pennsylvania.,Donald Trump,Pennsylvania,1,0,0,0
And so I think it's smart on the Harris's campaign's part to be leaning into this idea of how do we take care of our older parents.,Kamala Harris,Arizona,1,1,1,0
And this is not the first time he has told us who he is.,Donald Trump,Arizona,-1,0,0,-1
"Some Michigan voters have been hesitant with the Biden administration's response to the Israel-Hamas war, and Trump is honing in on that.",Donald Trump,Michigan,1,-1,1,0
"So that's, you know, one would presume that those people would be voting for Trump, but you never know, given his problems with women.",Donald Trump,Michigan,-1,-1,-1,0
"Good to have that context there, at Harris's rally this weekend, she said her administration would get rid of attacks on tips for service workers.",Kamala Harris,Pennsylvania,1,0,1,0
"So I hope Elon Trump, RFK Jr. is going to be the dream team to make us healthy again, man.",Donald Trump,Pennsylvania,-1,1,1,1
"And hold on to the end, because I'm going to explain why I think the wheels are starting to fall off the Kamala Harris campaign.",Kamala Harris,Pennsylvania,0,0,0,-1
She's taken personal offence over Donald Trump's criticism of some migrant groups and she concedes she could head back to New Zealand if he wins.,Donald Trump,Arizona,1,-1,-1,-1
"And with Kamala Harris and all her qualifications and achievements, it is unfortunately a little bit harder for her to make the case with just a sliver of men.",Kamala Harris,Arizona,-1,-1,-1,0
"He voted to support this bipartisan border bill that Donald Trump opposed, Kerry Lake opposed.",Donald Trump,Arizona,1,0,0,0
"Today, Kamala Harris has been endorsed and actually has been endorsed for roughly a week now by the Republican mayor of Mesa, Arizona.",Kamala Harris,Arizona,1,1,1,1
"It's so bad, these internal polls, that Kamala Harris has agreed to an interview with Fox News and Bret Baier.",Kamala Harris,Michigan,-1,-1,-1,-1
He'll secure our borders.,Donald Trump,Pennsylvania,1,1,1,1
"Southern Pennsylvania, they're in Trump's pocket.",Donald Trump,Pennsylvania,1,0,0,0
"And quite frankly, I don't see how much changes in the next week to magically give Harris Arizona.",Kamala Harris,Arizona,-1,0,0,-1
"So while the national and even statewide polling in some states has gotten worse for Trump, it seems like in Pennsylvania, it stayed about the same.",Donald Trump,Pennsylvania,0,-1,-1,-1
"And it's sad because Shannon Sharpe had her on his podcast, but I don't think he would have Donald Trump on his podcast.",Donald Trump,Arizona,1,-1,-1,-1
"President Trump can say whatever he wants, but his record is really clear for workers here in Michigan.",Donald Trump,Michigan,0,1,1,0
"On the polling average, Trump leads by 0.5%.",Donald Trump,Arizona,1,0,1,1
"For all of the working people struggling under Kamala's inflation nightmare, we will have large tax cuts for workers.",Kamala Harris,Arizona,1,1,1,-1
We want to get to a point where Kamala Harris's bad decisions is something she can deal with.,Kamala Harris,Arizona,-1,-1,-1,-1
But it is really crazy that Michigan officially leads for Trump by a point five margin in the average.,Donald Trump,Michigan,1,1,1,1
We are ready for a President Kamala Harris.,Kamala Harris,Arizona,1,1,1,1
He's a total poser.,Donald Trump,Pennsylvania,-1,0,-1,-1
So Trump is winning the much larger voters who don't have a college degree.,Donald Trump,Arizona,1,1,1,1
So they're all Harris-Walz supporters.,Kamala Harris,Arizona,1,1,1,0
"She's nominally Christian, i'm not sure if she goes to church on a regular basis.",Kamala Harris,Michigan,-1,-1,-1,0
But there's no joy when Kamala Harris's boss caused half of America garbage for thinking that they're doing a bad job.,Kamala Harris,Arizona,-1,-1,-1,-1
It's going to be a fair election and they should accept the results.,Donald Trump,Arizona,1,0,0,1
The problem comes back to people like Kerry Lake and Donald Trump.,Donald Trump,Arizona,1,-1,-1,-1
They don't like her.,Kamala Harris,Pennsylvania,-1,-1,-1,-1
She's not talking about the border.,Kamala Harris,Michigan,-1,0,-1,0
"I would certainly hope so, it's so funny because Kamala was caught on a hot mic.",Kamala Harris,Arizona,-1,-1,-1,1
"And what people don't know about that is that is a Republican effort, right: one of his attorneys actually was a consultant for Donald Trump, is a member of the Republican National Lawyers Association, is a well-known lawyer in Michigan who advocated against marriage equality, against affirmative action, against abortion rights.",Donald Trump,Michigan,-1,0,-1,0
"And so I think she actually has some room to grow with women, actually.",Kamala Harris,Arizona,1,0,1,1
Trump's abortion bans are going into implementation state after state.,Donald Trump,Pennsylvania,-1,0,-1,0
"That's what I make, i make my Donald Trump video.",Donald Trump,Pennsylvania,0,0,0,0
"Michigan is very odd as well, but I mean Quinnipiac did come out with a Trump plus three.",Donald Trump,Michigan,1,0,1,1
"I mean, this was the demographic that Trump was going after through much of the race.",Donald Trump,Arizona,-1,0,0,0
She's been hitting the campaign trail hard.,Kamala Harris,Arizona,1,-1,1,0
"But what we know, based on data points, even before she announced Tim Wallace as the VP, and I do think he adds a lot, especially being from the Midwest, an election winner of 2020 and 2022 rather in 2018, he does well in the state, is that Pennsylvania, right now I have as a lean Democratic state, I do believe Kamala Harris and Tim Wallace can win it.",Kamala Harris,Pennsylvania,1,1,1,1
"In 2016, when Trump won, and this was the shock because a Republican had not won those states until 20 years prior to that, when he won Wisconsin, Michigan and Pennsylvania, these are the so-called blue wall states.",Donald Trump,Michigan,1,1,1,1
"You have folks from Palestine, you have Lebanese folks, and it was reported today that Tiffany Trump's father-in-law, a prominent Lebanese businessman, has been advocating for Trump in Michigan as well, which could be stirring the numbers.",Donald Trump,Michigan,1,1,1,1
"Kamala Harris knows who she's fighting for, too.",Kamala Harris,Michigan,1,-1,1,1
"Even if Trump loses it, you're talking about 306 electoral votes versus 312.",Donald Trump,Michigan,0,-1,0,0
We must hold them to account because it's simple.,Kamala Harris,Michigan,-1,0,-1,0
It's more about politics and doing whatever he thought would personally benefit him.,Donald Trump,Arizona,1,-1,-1,0
"They've accomplished some amazing bipartisan legislation through Congress, things like the chips act, the bipartisan Infrastructure Act, the inflation reduction reduction act.",Kamala Harris,Arizona,1,1,1,1
The campaign says that they've opened around 13 offices in Nevada where she's traveling to tomorrow and around a dozen here in Arizona.,Kamala Harris,Arizona,1,0,0,0
Harris's approval as vice president is 44 percent.,Kamala Harris,Arizona,1,0,0,0
"Well, right now they found Trump up by 8%, which is an eight point shift from 2020.",Donald Trump,Arizona,1,1,1,1
"On the other hand, Trump is doubling down on his promise to bring back manufacturing jobs to Pennsylvania.",Donald Trump,Pennsylvania,0,1,1,0
"The New York Post reporting that Democrats in Pennsylvania, that all-important state, say that Harris is, quote, AWOL in being out message.",Kamala Harris,Pennsylvania,0,-1,0,-1
She is almost being locked out of getting 270 electoral votes.,Kamala Harris,Michigan,-1,0,-1,-1
And we know Vice President Harris is someone who also cares about results and has a proven history of getting the job done.,Kamala Harris,Arizona,1,1,1,1
They've all been charged with the same nine counts.,Donald Trump,Arizona,-1,-1,-1,-1
"And some people are considering this a flip-flop, but Harris is saying that this is simply aligning her with the Biden administration, which also did not call for banning fracking.",Kamala Harris,Pennsylvania,-1,0,0,-1
He's a nearly 80 year old man.,Donald Trump,Pennsylvania,0,0,0,-1
"We can picture the Oval Office, right: and if he is elected on day one, Donald Trump would walk into that office with an enemies list.",Donald Trump,Arizona,-1,-1,-1,-1
"He mocked her appearance, laugh, and debating skills while criticizing her economic proposals.",Kamala Harris,Pennsylvania,-1,-1,-1,-1
"But he also criticized her Republican opponent this fall, arguing that former President Donald Trump would be more likely to cross a picket line than to join one.",Donald Trump,Pennsylvania,0,-1,-1,-1
She seems really good for women Harris is there with the energy.,Kamala Harris,Arizona,1,1,1,1
"This can lead to higher enthusiasm and turnout among his supporters, who are likely to view the legal victory as a validation of their concerns and motivations.",Donald Trump,Pennsylvania,1,1,1,1
And right now there's kind of a honeymoon period for Kamala Harris.,Kamala Harris,Arizona,-1,0,0,0
She actually went to a church service and then she went on to a small local business and then which she actually went to a chicken and waffle restaurant that's owned by a former Detroit Lions player and then she went on to a barbershop in a predominantly black neighborhood because she was really trying to get out the black vote there because we have seen her try to court those voters and we've actually seen her in her support increase over the last few months.,Kamala Harris,Michigan,1,1,1,1
"Here, through all the contradictions, they are swinging to Trump.",Donald Trump,Michigan,1,-1,1,1
Who has a leadership experience needed for the job: Donald Trump has the edge.,Donald Trump,Michigan,1,0,1,1
"And if there's a lot update here, you can see recently Trump has really expanded his lead.",Donald Trump,Arizona,1,0,1,1
"He's like fighter, fighter man.",Donald Trump,Michigan,1,1,1,1
"Yeah, she's flip flopped on a lot of issues related to energy.",Kamala Harris,Pennsylvania,-1,1,-1,-1
"Could Donald Trump win the popular vote: well, he is a populist candidate and populism is popular.",Donald Trump,Michigan,1,1,1,0
She was up by around a point for about half a month.,Kamala Harris,Michigan,1,0,1,0
"I'm sure that's why Harris is there, and she has a message not just for Erie County, but statewide, correct: correct Major, this is actually going to be the vice president's 10th visit to Pennsylvania since becoming the presidential nominee.",Kamala Harris,Pennsylvania,0,1,1,0
So you could see Kamala Harris kind of barely hanging on with like this point seven point eight lead.,Kamala Harris,Pennsylvania,0,1,0,1
"This is the kind of person who's going to help Kamala get stuff done, folks who share our values, and will do whatever they can to move the country forward.",Kamala Harris,Arizona,1,1,1,1
"And then the polls ended up being right, well, look what happened, those same polls show Donald Trump doing very well because it's across the board and everybody knows it.",Donald Trump,Arizona,1,1,1,1
"The mayor says he told former President Trump he'd like him to visit Hamtramck, and that he expects the campaign to set up an office in the city to ramp up their ground game over the next six weeks.",Donald Trump,Michigan,0,1,1,0
"And so this race is probably pretty tight, i know other polls have Harris ahead a little bit.",Kamala Harris,Michigan,1,1,1,1
"Harris picking up big endorsements, our voice, our vote Arizona and Lucha, saying voters are ready to start working toward November.",Kamala Harris,Arizona,1,1,1,1
"And now they're saying Trump is the worst, but Trump has surrounded himself by really good people today.",Donald Trump,Pennsylvania,-1,0,-1,-1
He doesn't have to win it to win the state.,Donald Trump,Pennsylvania,0,-1,0,1
"So, while Trump leads in most of these polls, Michigan remains highly competitive, and it could swing either way.",Donald Trump,Michigan,0,1,0,1
"When you hear it, what you hear is he's talking to Pennsylvania voters saying that they don't like Trump style, but they're going to vote for him anyway.",Donald Trump,Pennsylvania,0,-1,0,0
"She's not intelligent, all right.",Kamala Harris,Pennsylvania,-1,-1,-1,-1
"Kamala Harris and Tim Walz just wrapped up a raucous campaign rally before more than 15,000 people in Glendale, Arizona.",Kamala Harris,Arizona,1,0,1,0
"She was asked directly, like, would you support an arms embargo: and she said, no.",Kamala Harris,Michigan,0,1,0,0
I spent today talking to some auto workers who are going to vote for Donald Trump.,Donald Trump,Michigan,1,0,1,0
"And listen, he thinks Kamala Harris is a smarter candidate, a more empathetic candidate, and he thinks she will eke it out.",Kamala Harris,Arizona,1,1,1,1
"A part of the group Harris was hoping to connect with, I think itÕs really important that she reaches out to them. SheÕs done a really good job engaging hundreds of our neighbors at State University on Sunday, ahead of TuesdayÕs election, addressing key demographics in Michigan.",Kamala Harris,Michigan,1,1,1,1
"I look at his economic policy, and he's basically talking about a huge national sales tax without any kind of approval from Congress.",Donald Trump,Arizona,-1,-1,-1,0
"We've seen these analyses now, the voters rejected Donald Trump.",Donald Trump,Arizona,1,-1,-1,-1
I Like his policy with the border and that's my favorite I think we should need to deport all of the illegal immigrants and I think that we need to take our country back Absolutely.,Donald Trump,Pennsylvania,1,1,1,-1
Trump's appeal: he's targeting those dissatisfied with the current administration's foreign policy.,Donald Trump,Michigan,1,-1,1,-1
"So he is doom and gloom all the time, like everything's bad.",Donald Trump,Arizona,1,-1,-1,-1
"But Pennsylvania Kamala Harris, she's got a problem.",Kamala Harris,Pennsylvania,-1,-1,-1,-1
"Now the most recent New York Times, Siena poll shows Kamala Harris at 43% of the vote in the Northeast part of the state.",Kamala Harris,Pennsylvania,1,0,0,0
She's lying to them and hoping that she'll get through to them with the lie so that she can put them out of work.,Kamala Harris,Pennsylvania,-1,-1,-1,-1
Vice President Harris and her team say she is fully engaged as well.,Kamala Harris,Pennsylvania,0,1,0,1
Now this is of no surprise because I've been following Kamala and her national political aspirations for a while.,Kamala Harris,Pennsylvania,0,0,0,0
But that debate... Was it the debate that won you over? That's what I saw of Kamala Harris that I had never knew existed.,Kamala Harris,Arizona,1,1,1,1
"I mean, a month ago, Kamala Harris was up by two points.",Kamala Harris,Michigan,1,0,1,0
"Ever, and he sees Kamala Harris as more liberal than he would like.",Kamala Harris,Pennsylvania,0,1,0,0
"He's out there rambling, moving around, we'll give him a break.",Donald Trump,Michigan,-1,0,-1,-1
"Have you seen him lately: i mean, he is out there, he's given two, two and a half hour speeches, just word salads.",Donald Trump,Arizona,1,0,-1,-1
He said he's impressed by Trump's business experience.,Donald Trump,Michigan,1,1,1,1
"But if it really is Trump plus four, Trump plus five, like the polls are showing, she could actually win.",Donald Trump,Arizona,1,1,1,1
She's backed off of that lead by about half a point.,Kamala Harris,Michigan,-1,0,-1,0
She doesn't give a rat's ass about you and your grocery bill.,Kamala Harris,Pennsylvania,-1,1,-1,0
So why is Trump campaigning in California and New York: with states he has about as much chance of winning as he has of winning a BET award instead of the swing states.,Donald Trump,Pennsylvania,0,1,0,0
Harris holds a narrow two-point lead.,Kamala Harris,Michigan,1,0,1,1
Here's a 78 year old billionaire who has not stopped whining about his problems since he wrote down his golden escalator nine years ago.,Donald Trump,Michigan,-1,-1,-1,-1
"Harris started, quote, like a rocket in Michigan, and now she's slipping.",Kamala Harris,Michigan,-1,-1,-1,-1
"That's the kind of president Kamala Harris will be. To lower housing costs Kamala is gonna cut red tape and work with state and local governments as well as the private sector to build 3 million new homes concrete plans. She'll give first-time homebuyers up to $25,000 to help them with a down payment concrete plans to lower health care costs. Kamala already worked with Joe Biden to take on the drug companies bring down the cost of insulin hearing aids more than 50 prescription drugs. Ruben worked on that he knows about it and as president Kamala will never stop working to limit out-of-pocket costs and protect your care concrete plans.",Kamala Harris,Arizona,1,1,1,1
We're well aware of his faults and many of us have concluded that he is ineligible to be the president of the United States.,Donald Trump,Arizona,-1,-1,-1,-1
"If they're concerned about issues like immigration, ask him, well, what do you think he's going to do: because we know what he did the first time didn't work.",Donald Trump,Arizona,-1,-1,-1,-1
So the Republican electorate advantage in Arizona in 2020 was around four points and Trump barely lost the state by less than a point.,Donald Trump,Arizona,1,0,1,1
She sees us.,Kamala Harris,Michigan,1,0,1,1
She's trying to campaign as the border hawk.,Kamala Harris,Arizona,1,0,0,0
"That if there's a, Kamala Harris put that sign up, ladies and gentlemen.",Kamala Harris,Arizona,1,0,1,0
Kamala having a tough time in Pennsylvania.,Kamala Harris,Pennsylvania,-1,-1,-1,-1
"It was incredible, you see so many Trump signs, so many Trump flags everywhere in Arizona.",Donald Trump,Arizona,1,1,1,1
You're starting to see voters warm up to her on her economic vision.,Kamala Harris,Pennsylvania,1,1,1,1
"She's crazy, you know why she hasn't done an interview: because she's not smart.",Kamala Harris,Pennsylvania,-1,-1,-1,-1
"That's not the situation here, i mean, she is trying to manage and will try to manage a situation at our southern border that often gets chaotic and can get to a crisis.",Kamala Harris,Arizona,1,1,1,0
