Sentences,Presidential_Candidate,State,Vote_1,Vote_2,Final_Sent
"And if Trump is able to improve among white working class voters by a few points, when again, that's a demographic Biden did well with.",Donald Trump,Arizona,1,1,1
And the messaging is on Trump's side.,Donald Trump,Arizona,1,0,1
Trump and many of his MAGA fans are having trouble with their own fake audits that they've demanded while they're ramping up attacks on democracy.,Donald Trump,Arizona,-1,-1,-1
Donald Trump speaking to a crowd with all of the usual pageantry.,Donald Trump,Arizona,1,0,1
"This was this weekend and this is part of what this MAGA movement has become, calls to decertify elections even when their own sham audits, which aren't valid and wouldn't change the outcome anyway, actually found that Trump lost by even more than he thought.",Donald Trump,Arizona,-1,-1,-1
"Republican Congresswoman Cheney, who of course was ousted from leadership over confronting Trump's big lie, is saying pay attention because this person who may run again for president is dangerous.",Donald Trump,Arizona,1,-1,-1
"It seemed like a major development from the White House lectern, spurning executive privilege claims by Donald Trump if he tries to make them around January 6th.",Donald Trump,Arizona,-1,-1,-1
"Trump has been a part of this project for a long time, and I hope you will enjoy it.",Donald Trump,Arizona,1,0,0
"Only one man can fix that, that is Donald J. Trump.",Donald Trump,Arizona,1,0,1
"On behalf of the 16,000 men and women represented by the National Board of Patrol Council, we strongly support and endorse Donald J. Trump for President of the United States.",Donald Trump,Arizona,1,1,1
Donald Trump is not popular here.,Donald Trump,Arizona,-1,-1,-1
"The stuff he does, I don't understand, you know, a riot on the Capitol.",Donald Trump,Arizona,-1,-1,-1
"With just 12 days left in the race for the White House, former President Donald Trump headed west for rallies in Arizona and Nevada spotlighting his signature issue immigration.",Donald Trump,Arizona,1,1,1
"It is close, there is no doubt about that, but it is probably the one state out of the seven that is pretty much assured of falling to Trump.",Donald Trump,Arizona,1,1,1
"So Arizona is a Trump state, and I think that needs to be pointed out there.",Donald Trump,Arizona,1,0,1
"And new Fox News power rankings out today, tracking the presidential race in the battleground state shows Trump has some momentum in Arizona.",Donald Trump,Arizona,1,1,1
She encouraged early voting and said women should get Trump's vote.,Donald Trump,Arizona,0,1,1
"Absolutely, but make no mistake, if Trump imposes his 50 state abortion ban, those protections disappear.",Donald Trump,Arizona,1,-1,-1
I mean Trump is all doom and gloom.,Donald Trump,Arizona,-1,-1,-1
Now he's on about Puerto Rico and being a garbage can.,Donald Trump,Arizona,1,-1,-1
"So he is doom and gloom all the time, like everything's bad.",Donald Trump,Arizona,1,-1,-1
I voted for him the previous time he ran.,Donald Trump,Arizona,1,0,1
Just I think he's a businessman.,Donald Trump,Arizona,1,0,0
He's not a politician and I think he knows what the country needs to get it back on track.,Donald Trump,Arizona,1,0,1
She's taken personal offence over Donald Trump's criticism of some migrant groups and she concedes she could head back to New Zealand if he wins.,Donald Trump,Arizona,1,-1,-1
"Donald Trump, on the other hand, has been talking a big game about securing our border, but he does not walk the walk.",Donald Trump,Arizona,-1,0,-1
Trump is currently on track to win.,Donald Trump,Arizona,1,1,1
"But besides the two morning console polls, which again heavily lean towards the left, every other poll has shown Trump ahead, with one of them showing a tie.",Donald Trump,Arizona,1,0,1
"And so currently, the state of Arizona is going to be tilled red based on the most recent poll, but Trump is performing a lot better than he was in 2020 when he lost the state entirely to Joe Biden.",Donald Trump,Arizona,1,1,1
"And in particular in Arizona, I was trying to aim at those folks there, pointing out that they have run the danger under Trump and his rhetoric.",Donald Trump,Arizona,1,-1,-1
"We have seen the growth of hate groups, particularly over the last 20 years, and even more so, at a much greater rate, since Trump became president.",Donald Trump,Arizona,-1,-1,-1
"These hate groups, particularly, I guess Hispanics, which is what Trump and his gang are really pushing hard on.",Donald Trump,Arizona,1,-1,-1
And former President Donald Trump escalated his rhetoric about the border while in Arizona.,Donald Trump,Arizona,1,0,0
"His focused on the past and himself, the other hours focused on the future and you.",Donald Trump,Arizona,1,-1,-1
"For the fifth time in the past year, Donald Trump returned to border state Arizona to a big crowd in Tempe.",Donald Trump,Arizona,1,0,1
"Trump calling increased immigration a betrayal, saying he would increase penalties for illegal immigrants who commit violent crimes and institute a mass deportation, saying it's time to clean up the U.S. We're a dumping ground.",Donald Trump,Arizona,1,-1,-1
Arizona and Georgia would be major victories for President Trump in the general election as both are states that President Biden won back in 2020.,Donald Trump,Arizona,1,1,0
"It was the party of John McCain and then Donald Trump and MAGA continue to attack John McCain, even after John McCain passed away.",Donald Trump,Arizona,0,-1,-1
"Donald Trump has challenged John McCain's heroism, continues to make fun of the late great Senator John McCain.",Donald Trump,Arizona,1,-1,-1
And you've got Donald Trump out there attacking John McCain and saying things like this.,Donald Trump,Arizona,0,-1,-1
"And then more recently, Donald Trump, I think mocking John McCain for not voting to kill Obamacare, the Affordable Care Act here.",Donald Trump,Arizona,1,-1,-1
That's why they hate Donald Trump so much.,Donald Trump,Arizona,1,-1,-1
"Arizona criminal court judge has told MAGA lawyer Rudy Giuliani to give it a rest and give it up and stop raising nonsensical motions that don't have one scintilla of evidence and support in the criminal prosecution by the Arizona attorney general against Rudy Giuliani and others, almost Donald Trump, who were involved with the attempt to stop the peaceful transfer of power.",Donald Trump,Arizona,-1,-1,-1
"What has changed: it's a three-point difference between the Democrat and Donald Trump, but stuff has changed.",Donald Trump,Arizona,0,0,0
"A lot of people may think these numbers would have changed after the momentum gained by the DNC, but then we also had a Trump rally in Arizona.",Donald Trump,Arizona,1,0,0
"It could basically just maintain, rFK Jr. at that rally endorsing Trump.",Donald Trump,Arizona,1,0,1
"The thing is that it's really going to matter everyone's vote because, remember, Biden only beat Trump in Arizona by just 11,000 votes.",Donald Trump,Arizona,1,0,0
"But I think the rubber is going to hit the road and the race is going to look a lot more realistic, I think, come mid September right in there once this race kind of settles down and these campaigns hunker in, because that's the only thing the polling showed is that, you know, with on the issues, Trump is doing better on some of the key issues that Arizona voters care most about, such as pocketbook issues and immigration.",Donald Trump,Arizona,1,1,1
They also have a lot more money left over than Trump and his side.,Donald Trump,Arizona,1,0,1
"We won't win, he won't win.",Donald Trump,Arizona,-1,-1,-1
We have an opportunity to turn the page on a decade of Donald Trump trying to keep us divided and afraid of each other.,Donald Trump,Arizona,-1,1,-1
In 2016 the state of Arizona was won by Donald Trump over Hillary Clinton by 3.5% of the vote.,Donald Trump,Arizona,1,1,1
"Let's say Trump only wins, or Arizona excuse me, only votes 2% to the right of the popular vote.",Donald Trump,Arizona,1,1,1
Well Trump would then win the state by 0.2% if the numbers remained the same.,Donald Trump,Arizona,1,1,1
Some key counties I'm watching in the state of Arizona it all begins and ends with Maricopa County this is a county that was reliable Republican in 2012 and even before that in 2016 Trump won it by 2.8% he won statewide by a little under 4% of the vote in 2020 Joe Biden wins this county by 2.2% and Biden wins this state by just 0.3% of the vote.,Donald Trump,Arizona,1,0,0
If Trump is going to win the state of Arizona he either needs to do way better everywhere else like drastically better and keep Maricopa County at 2.2 or Trump needs to get this number at 2.2% slightly smaller than what it is.,Donald Trump,Arizona,0,1,0
So Trump's number one target has to be Maricopa County in Arizona.,Donald Trump,Arizona,0,1,0
Another county I'm watching is Yuma County not as big population as Maricopa it was 12.6 in 2012 for Romney 1.1 for Trump in 2016 6.2 for Trump in 2020 I'm interested in the margins here because for Trump if Trump is not able to improve in Maricopa he needs to do better in a county like Yuma where he did go up five points from 16 to 20 up to 6.2 but if Trump is not doing better in Maricopa this 6.2 needs to become like plus 10 or plus 9 to make up enough votes to try and counterbalance Maricopa so Yuma is what I'm watching for for the margins I know it'll go for Trump I'm watching for the margins on that one.,Donald Trump,Arizona,0,0,0
Navajo County the final county I'm looking at 7.9 for Romney in 2012 10.2 for Trump in 2016 8.3 for Trump in 2020 again another smaller county we fully expect to go for Donald Trump but what is the percentage margin of victory in that county where again if Maricopa is staying the same or only budging a bit you have to look at a county like this and say okay can Trump make up the votes in a county like Navajo and by how much this is one I'm very much closely watching.,Donald Trump,Arizona,1,1,1
"He suggested that you happened to turn black recently for political purposes, questioning a core part of your identity.",Donald Trump,Arizona,1,-1,-1
"That was the same Mark Fincham, who was at the Capitol on January the 6th, speaking this weekend at Donald Trump's big lie-filled Arizona rally.",Donald Trump,Arizona,1,-1,-1
"I talked to so many people there and every person that I spoke with said that they did not think Joe Biden was the rightful president, that Trump actually won and the Democrats had stolen the election.",Donald Trump,Arizona,0,1,1
"But I think one key thing is, as Elaine points down her dispatch from the Arizona rally, you know, the way to achieve legitimacy in the GOP these days is to rally behind Trump's election lies.",Donald Trump,Arizona,1,-1,-1
"These groups have responded favorably to her focus on health care, education, and social justice, a contrast to Trump's policy emphasis on economic growth and immigration control.",Donald Trump,Arizona,-1,0,-1
"Men, on the other hand, remain one of Trump's most reliable voting blocks in both Arizona and Nevada.",Donald Trump,Arizona,-1,1,1
"His messaging on economic strength, law and order, and conservative values resonates with male voters who view him as a champion of traditional American ideals.",Donald Trump,Arizona,0,1,1
Both Arizona and Nevada have been closely watched swing states in recent elections.,Donald Trump,Arizona,-1,0,0
"So get out there and vote for Donald J. Trump, for Carrie Lakin, for all of our great candidates.",Donald Trump,Arizona,1,1,1
"And here's my solemn promise is that when Donald J. Trump is the president of the United States, we're going to go to war against the Mexican drug cartels, get that poison the hell out of our country and return basic sanity to the people of Arizona.",Donald Trump,Arizona,0,1,1
"So yes, under Donald Trump's leadership, we're going to build more homes.",Donald Trump,Arizona,1,1,1
"Yes, under Donald Trump's leadership, we are going to make mortgage interest rates more affordable, but most importantly, we are going to fight to ensure that American homes go to American citizens.",Donald Trump,Arizona,1,1,1
"I get to go around and talk about the fact that when Donald J. Trump was president, inflation was at 1.5% and our citizens could afford groceries.",Donald Trump,Arizona,1,0,1
"Well, when Donald J. Trump is president, that is going to change.",Donald Trump,Arizona,1,1,1
"Let's give the American people, Donald J. Trump.",Donald Trump,Arizona,1,1,1
He also said that he was going to get Mexico to pay for the wall.,Donald Trump,Arizona,0,1,0
"I also thought Donald Trump was a little Latino at first, I mean.",Donald Trump,Arizona,-1,0,0
"Also, Donald Trump just seems very unwell.",Donald Trump,Arizona,0,-1,-1
"He was making noises throughout the night, just making weird noises while instead of even speaking here.",Donald Trump,Arizona,-1,-1,-1
"How unhinged, how demented he continues talking about Adam Schiff.",Donald Trump,Arizona,1,-1,-1
I didn't know what he's talking about.,Donald Trump,Arizona,0,-1,0
"Watch this, did you see his right leg there: you see again, those are signs and symptoms of mini strokes.",Donald Trump,Arizona,-1,0,-1
We really need to see what's there needs to be ramifications for what Donald Trump said at the beginning because I believe that was a felony threat right there.,Donald Trump,Arizona,1,-1,-1
So for the course of this exercise we're going to go ahead and give Arizona to Trump which puts him at 230.,Donald Trump,Arizona,1,0,1
Alright if that's the case Trump's at 252.,Donald Trump,Arizona,0,1,0
"So first off, let's talk about Arizona, how is Arizona trending so far: you've got to give it to Donald Trump right now.",Donald Trump,Arizona,1,0,1
"We see those very aggressive Trump supporters gathering outside the Maricopa County Elections Board, making a lot of noise and making it hard for poll workers to end their shifts and get to their cars.",Donald Trump,Arizona,0,1,1
We have been talking for weeks about what Republican voters took away and what they thought of the damning evidence and the allegations laid out by those closest to Donald Trump through these public hearings from the January 6th select committee.,Donald Trump,Arizona,1,-1,-1
Used investigators from the Arizona attorney general's office to go sniff around and do the best to build up a report showing that Donald Trump actually won.,Donald Trump,Arizona,-1,1,-1
"She is the backing of Donald Trump, the backing of Paul Gosar, the backing of Mike Lindell.",Donald Trump,Arizona,1,1,1
"Donald Trump lost the state by just about 10,000 votes.",Donald Trump,Arizona,1,0,0
"And just quickly, just speaking of Arizona, Amy, and speaking of election, former President Trump was in Arizona over the weekend talking to his fans, thousands of them repeating the same mistruths about the election, saying he won.",Donald Trump,Arizona,1,-1,-1
She's a registered independent and has previously voted for Donald Trump.,Donald Trump,Arizona,1,0,1
She moved to Arizona from Pennsylvania where her entire family they are Trump voters.,Donald Trump,Arizona,1,0,1
She categorically as categorically as you can said that she was not going to vote for Trump.,Donald Trump,Arizona,-1,0,-1
"And they said, we're just not going to vote for, you know, President Biden and Donald Trump because they were too old.",Donald Trump,Arizona,-1,0,-1
He said he was not going to vote for Donald Trump.,Donald Trump,Arizona,1,0,-1
"But the Trump campaign was indeed the first ones to announce that they were planning on, you know, announcing this lawsuit alleging voter fraud.",Donald Trump,Arizona,1,0,0
"Is the Trump campaign considering legal action in Arizona: well, to be clear in Arizona as well, the Trump campaign has already been granted a motion to intervene in a state case over this Sharpie Gate conspiracy theory, as has the local Democratic Party here in the state of Arizona.",Donald Trump,Arizona,0,1,0
"They say it doesn't matter who runs against the president, that they think that former President Trump has this on lock.",Donald Trump,Arizona,1,0,1
"I well, I still feel like Trump's going to do better.",Donald Trump,Arizona,0,1,1
"Just based off recent events, his polls are skyrocketing.",Donald Trump,Arizona,1,1,1
And I think he's just already secured the presidency.,Donald Trump,Arizona,1,1,1
"His lead was often within the margin of error, meaning the race was competitive.",Donald Trump,Arizona,1,0,0
"Important Factors Immigration and Border Security Given Arizona's proximity to the U.S.-Mexico border, immigration remained a top issue, which typically favored Trump among conservative voters.",Donald Trump,Arizona,1,1,1
"Candidate Favorability Trump, despite his high-profile legal challenges, retained strong favorability among the Republican base.",Donald Trump,Arizona,1,1,1
"Conclusion At the time of the mid-September polling, Arizona's electoral outlook remained uncertain, with Trump holding a small but not definitive lead.",Donald Trump,Arizona,1,-1,1
It's one different thing It's very interesting to watch and if you're watching Donald Trump Donald Trump doesn't know what to do. He's got no idea what to do.,Donald Trump,Arizona,-1,1,-1
"Well, good afternoon, Connell, to all your viewers, so when President Trump visited Cochise County about three weeks ago, I think now maybe a month ago, we had two days before his arrival, we had an individual go onto social media and made threats to harm President Trump.",Donald Trump,Arizona,1,-1,-1
Do you think Donald Trump is a fascist: yes I do.,Donald Trump,Arizona,-1,-1,-1
Trump says Kelly was lying out of pure Trump derangement syndrome hatred.,Donald Trump,Arizona,-1,-1,-1
So you don't think it's stupid anymore: i think what he did and how he did it was did not make much sense because he actually didn't do much of anything.,Donald Trump,Arizona,-1,-1,-1
Gary Blasingale is voting for Trump.,Donald Trump,Arizona,1,0,1
Tonight with less than two weeks to election day former President Trump hitting critical battlegrounds including the campus of Arizona State.,Donald Trump,Arizona,1,0,0
A second case involving Trump's handling of classified documents was dismissed by a Trump appointed federal judge.,Donald Trump,Arizona,-1,0,-1
We got to lock him up.,Donald Trump,Arizona,-1,0,-1
The White House says the president was just referring to politically defeating Trump.,Donald Trump,Arizona,1,-1,-1
"How dare they. Donald Trump has said that abortion access should be left up to the states, but he's been inconsistent about whether he would oppose a federal abortion ban.",Donald Trump,Arizona,1,-1,-1
It just isn't a Donald Trump state.,Donald Trump,Arizona,-1,0,-1
Donald Trump is a 78 year old billionaire who has not stopped whining about his problems since he rode down his golden escalator nine years ago.,Donald Trump,Arizona,1,-1,-1
Donald Trump promising mass deportations.,Donald Trump,Arizona,1,0,0
"He will ban abortion nationwide. He will restrict access to birth control put IVF treatments at risk and force states to monitor women's pregnancies, and you don't have to take my word for it.",Donald Trump,Arizona,0,-1,-1
It's what he will do if elected you can be sure he will bring back family separation policies only on a much greater scale than last time and it is time then to turn the page on Donald Trump.,Donald Trump,Arizona,-1,-1,-1
Trump leads by 2 points.,Donald Trump,Arizona,1,0,1
I'm not sure any American President has ever uttered those words other than Donald Trump.,Donald Trump,Arizona,1,-1,-1
"For those of you who haven't been paying attention, you know, at Trump's rallies, he has been making it a point to tell everyone, get out and vote early, get out and vote early.",Donald Trump,Arizona,-1,0,0
"Where this section of border wall built during the Trump years abruptly ends, he lost before it could be completed, cartels who often abuse and exploit migrants then leave them here at the doorstep of America.",Donald Trump,Arizona,1,-1,-1
"It's just been going on for too long, well, I think what some people forget is there was a bipartisan bill that was ready to be voted on, and Trump sort of killed it.",Donald Trump,Arizona,1,-1,-1
Donald Trump says things that we don't like.,Donald Trump,Arizona,1,-1,-1
"Well, you decide, the New York Times released a poll early this morning showing former President Trump has rebuilt his lead in Arizona.",Donald Trump,Arizona,1,1,1
She's voting for Donald Trump.,Donald Trump,Arizona,1,0,1
She thinks he will win this time because of inflation and because of the immigration issue.,Donald Trump,Arizona,0,1,1
"They're not closet Trump supporters anymore, and it's not taboo to be a Trump supporter.",Donald Trump,Arizona,1,-1,1
"What they tell us, and they've told us on the past trips, is that that is largely economics, that people just feel bruised, people have nostalgic memories of the pre-COVID Trump economy, interest rates were lower, there were more jobs, grocery prices were lower.",Donald Trump,Arizona,1,1,1
"They remember how hard COVID hit them, and they remember before that when Trump was president, things here were booming.",Donald Trump,Arizona,1,-1,1
"And some of them want to go back, and they think that's the way to do it, even though they are repulsed by Trump's toxic comments about immigrants and about Latinos.",Donald Trump,Arizona,1,-1,1
But there is a significant amount of support and energy for Donald Trump that I wasn't necessarily expecting.,Donald Trump,Arizona,1,1,1
The striking thing about the polling is that she trails Donald Trump in every poll that we've had in Arizona.,Donald Trump,Arizona,1,0,1
That's interesting to hear how there's this divergence in how people Republican voters specifically see Kerry Lake versus Trump in a state like Arizona.,Donald Trump,Arizona,-1,1,-1
And quite honestly I think what happened is the McCain Republicans in Arizona hate Donald Trump so much that they sat on the sidelines.,Donald Trump,Arizona,1,-1,-1
What we hear from voters is basically there's only one Donald Trump.,Donald Trump,Arizona,1,0,1
"It was an afternoon filled with music from Los Tigres del Norte, and a proud vocal against the second presidency for Donald Trump.",Donald Trump,Arizona,1,1,1
Trump is set to co-host a hurricane relief benefit with Tucker Carlson in Glendale.,Donald Trump,Arizona,1,1,1
"They want to be here, and then quite candidly, Donald Trump, he's driving people to the middle, people like myself that have been longtime Republicans, appointed a judge by two Republican governors, different, you know, the Superior Court and the Court of Appeals, that his positions on this election denial, where it has foundational drive people to the center.",Donald Trump,Arizona,1,1,1
"And in Arizona, Trump has as many as three and a half point lead.",Donald Trump,Arizona,1,0,1
And it is pointing to momentum on the electoral college side heading toward Donald Trump.,Donald Trump,Arizona,1,1,1
"Nevertheless, Trump ended up winning by 3.4%.",Donald Trump,Arizona,1,1,1
"Correcting for 2.5% historical polling error, Trump's lead rises from 0.5% to precisely 3%.",Donald Trump,Arizona,1,1,1
"Based on average of the most recent seven polls by real clear polling, Trump leads by 7.4%.",Donald Trump,Arizona,1,1,1
"With two states to go now, Trump rises above the 270 mark and earns 296 electoral votes, so guaranteeing his victory.",Donald Trump,Arizona,1,0,1
Brand new points suggest that Donald Trump is about to win Arizona in a landslide.,Donald Trump,Arizona,1,1,1
"And compare that even to 2016 where Trump won Arizona, he won it by four points.",Donald Trump,Arizona,1,1,1
"Well, right now they found Trump up by 8%, which is an eight point shift from 2020.",Donald Trump,Arizona,1,1,1
"I just don't see how Trump wins Arizona by this much, but by some miracle loses North Carolina.",Donald Trump,Arizona,1,0,0
"Outside of that, every other pollster except two, which is Bloomberg and Atlas Intel, which we'll get to that in a second, every other pollster has Trump winning Arizona.",Donald Trump,Arizona,1,1,1
And it's not just the polls have Trump up by just one point.,Donald Trump,Arizona,1,0,1
"No, no, the majority of the polls have Trump winning Arizona.",Donald Trump,Arizona,1,0,1
"They have him up by two, even five points in Arizona.",Donald Trump,Arizona,1,0,1
"Meanwhile, CBS news insider advantage, they found Trump up by three.",Donald Trump,Arizona,1,1,1
"So when you factor in what data orbital found, which was Trump plus eight, you're talking about four polls right now that has Trump up by three or more in Arizona.",Donald Trump,Arizona,1,0,1
"Trump plus three and a half, yeah, we have Trump plus three, Trump plus four out of Arizona from, from Atlas Intel, which most people would agree is one of the best pollsters out there.",Donald Trump,Arizona,1,1,1
So that means you have five polls right now that has Trump winning Arizona by at least three points.,Donald Trump,Arizona,1,1,1
They're all showing Trump's up by at least three points to at most eight points.,Donald Trump,Arizona,1,0,1
"Yet you look inside the poll and they have Trump winning independence, which is just crazy because if Trump wins independence in Arizona, he's winning, he's winning the state by five points at a bare minimum.",Donald Trump,Arizona,0,1,1
"Literally every other pollster has Trump up in Arizona by two, three, even five to eight points as of now.",Donald Trump,Arizona,1,0,1
"Now, does this mean Trump's going to win Arizona by like five to six points: i'm not saying that right now, but it's becoming apparent to that Trump's going to win Arizona.",Donald Trump,Arizona,1,1,1
Trump is going to win Arizona if the election was held today.,Donald Trump,Arizona,0,1,1
He's actually winning Arizona by four to five points.,Donald Trump,Arizona,1,1,1
"That's what happened, and there's a good chance that when the wall street journal and the CNN poll, when they're kicked off the average, probably not the CNN poll, but the wall street journal, there's a good chance that when they include Atlas Intel's brand new poll, you're probably talking about Trump plus two, Trump plus three, maybe Trump plus four.",Donald Trump,Arizona,0,1,1
"And that's a stretch, but if there are other good polls for Trump out there in Arizona, there's a chance he could be up by three to four points by election day, which I know sounds crazy because back in 2020, Biden won Arizona.",Donald Trump,Arizona,1,1,1
"So it's crazy to suggest that Trump is not going to just win Arizona, but he's going to win it by like three to four points, which I'm not even saying it's going to for sure happen.",Donald Trump,Arizona,1,1,1
"You have a bunch of polls showing Trump up by three, four, five, seven points in Arizona right now.",Donald Trump,Arizona,1,0,1
But polls are not the only things suggesting that Trump's going to win Arizona by quite a bit.,Donald Trump,Arizona,1,1,1
"We're finding Trump's going to probably win Arizona by like three to four points, maybe by even more.",Donald Trump,Arizona,1,1,1
"If it gets so bad for Democrats, there's a legitimate possibility that Trump could win Arizona by some crazy margin like Trump plus four, Trump plus five, which I'm not saying it's going to happen.",Donald Trump,Arizona,1,1,1
"No, no one should expect that, but if the early voting trends continue and the polls continue trending the way they are, would it really be crazy to suggest that maybe Trump's going to win Arizona by some crazy margin compared to 2020: it's entirely possible.",Donald Trump,Arizona,1,1,1
Now it does make sense because both these polls have Trump winning Arizona by like four to eight points.,Donald Trump,Arizona,1,1,1
"But if Trump really wins Arizona by five, six, seven, eight points, which that's what data orbital is suggesting.",Donald Trump,Arizona,1,1,1
"But if the trends continue and Trump actually wins Arizona by four points, you're talking about 50, 50 race.",Donald Trump,Arizona,1,1,1
"If it's Trump plus five, Carrie Lake is probably the favorite.",Donald Trump,Arizona,1,1,1
"And I still think Ruben Gallego is the favorite, but it's a different story of Trump is really winning by three, four, five points.",Donald Trump,Arizona,1,1,1
"Right now, there's been a bunch of polls out of Arizona showing Trump winning by three, four, five, even eight points.",Donald Trump,Arizona,1,1,1
"And they're both finding Carrie Lake is surging and Trump is having a big margin of victory in Arizona, which is exactly what Lake needed to win.",Donald Trump,Arizona,1,1,1
"But if it really is Trump plus four, Trump plus five, like the polls are showing, she could actually win.",Donald Trump,Arizona,1,1,1
But I still believe that Donald Trump will win Arizona.,Donald Trump,Arizona,1,1,1
But it comes as Trump is facing controversy over connections to conspiracy theories.,Donald Trump,Arizona,-1,-1,-1
Urging Trump to stay focused on issues like the economy and protecting the border.,Donald Trump,Arizona,1,0,0
"I think the more he can stick to those issues, I think the better off that he is going to be as he goes forward.",Donald Trump,Arizona,0,1,1
"Washington Post reports this quote, the six-month GOP driven review confirmed the accuracy of the results according to a report released last month, but that hasn't silenced Trump who continues to make false claims or those of other Republicans including several Arizona lawmakers on the House Committee.",Donald Trump,Arizona,-1,0,-1
We saw what happened when Trump supporters tried to stop the certification of the actual accurate results.,Donald Trump,Arizona,1,-1,-1
"Who won the election in Arizona, Donald Trump? We don't know because the as the audit it demonstrates very clearly Mr. Raskin.",Donald Trump,Arizona,1,0,0
Donald Trump refused to accept the results and unfortunately we have one of the world's great political parties which has followed him off of the ledge of this electoral lunacy.,Donald Trump,Arizona,1,-1,-1
"Well, I think unfortunately he's speaking for a lot of the Republicans in Arizona, but certainly not for the majority of voters in Arizona.",Donald Trump,Arizona,1,0,0
"That being said, Donald Trump still is in the lead currently in Arizona by 3%, according to this image right here.",Donald Trump,Arizona,1,0,1
Trump got 600 K. So the Democrat firewall was 1.4 million vote advantage going into election day.,Donald Trump,Arizona,-1,-1,-1
He is currently the betting favorite and it's more so Trump.,Donald Trump,Arizona,1,1,1
Trump is winning it.,Donald Trump,Arizona,1,1,1
"Yeah, i mean, Trump's doing very well, but it is very early voting there.",Donald Trump,Arizona,1,1,1
So the Republican electorate advantage in Arizona in 2020 was around four points and Trump barely lost the state by less than a point.,Donald Trump,Arizona,1,0,1
We've been saying it's about a three and a half point victory in Arizona for Trump.,Donald Trump,Arizona,1,0,1
It's going to be the easiest swing state for either candidate to win is Arizona going for Trump.,Donald Trump,Arizona,1,1,1
"If you get a plus eight Republican electorate advantage, cause it was plus four and Trump barely lost.",Donald Trump,Arizona,1,0,1
"And I know people, a lot of Republicans they're not too fond of Kerry Lake, but if, I mean, listen, there's possible Trump takes us by four and a half.",Donald Trump,Arizona,1,0,1
"That's the forecast right now, you've got five 38 now and their sham model admitting, all right, Trump's going to win.",Donald Trump,Arizona,1,1,1
"It's, you know, it is what it is, but all the betting saying Trump's going to win.",Donald Trump,Arizona,1,1,1
"This is, this is a popular victory for Trump.",Donald Trump,Arizona,1,1,1
Anthony Dewitt still feels like Trump is significantly stronger on economic policy.,Donald Trump,Arizona,1,1,1
"Trump boasting that his three Supreme Court justice picks helped overturn Roe v Wade, giving states the decision on how to handle abortion access, something that panelists Melissa Narves, who is expecting her third child, feels strongly against.",Donald Trump,Arizona,-1,1,-1
"He talks great game, but he really doesn't carry through.",Donald Trump,Arizona,-1,1,-1
"And it seems like from the presidential politics perspective, Trump just wants to keep talking about it, to keep it alive as an issue.",Donald Trump,Arizona,-1,0,0
And most people don't like Donald Trump's personality.,Donald Trump,Arizona,1,-1,-1
"They feel like he's kind of a crazy, weird guy.",Donald Trump,Arizona,1,-1,-1
"I do think, I mean, this is I just laugh because was it politically craven when Trump was at the border last week, you know what I mean: like everyone's trying to do the same thing.",Donald Trump,Arizona,0,0,0
"Like, what do you make of sort of these polls being all over the place on the presidential level: because of Arizona, I think the general consensus, if you average these things out, is that Trump is ahead by a few points in Arizona.",Donald Trump,Arizona,1,1,1
There was a poll out today that said he's up five.,Donald Trump,Arizona,1,0,1
"I don't know whether that's accurate, but I do suspect he is up by a few.",Donald Trump,Arizona,1,-1,1
"And I think that is bolstered by looking at the other polls and seeing where he has made up ground against the Democrats, particularly among Hispanic voters and Hispanic men.",Donald Trump,Arizona,1,0,1
"Aaron, do you agree, if you had to be one of these candidates in Arizona right now, is it better to be Trump: just to be clear, I couldn't spend a minute inside the skin of Donald Trump.",Donald Trump,Arizona,-1,1,-1
That's not who Donald Trump is.,Donald Trump,Arizona,0,0,0
"If Trump wins Arizona by a handful of points, it seems hard to believe that he would outperform Kerry Lake by that much.",Donald Trump,Arizona,0,0,0
It is an argument that is full of hate and division. He insults Latinos scapegoats immigrants and it's not just what he says it's what he will do. ,Donald Trump,Arizona,-1,-1,-1
"And we know in this election, we have an opportunity to turn the page on a decade of Donald Trump trying to keep us divided and afraid of each other.",Donald Trump,Arizona,-1,-1,-1
"These are certainly competitive states, it's not over yet by any means, but Trump seems to have an upper hand here.",Donald Trump,Arizona,1,1,1
Trump is winning men more so than she is winning women.,Donald Trump,Arizona,1,0,1
We have seen that Trump overwhelmingly wins folks who say that the economy is their top issue.,Donald Trump,Arizona,1,1,1
"So our last one to you yesterday, Donald Trump spoke a lot about the border.",Donald Trump,Arizona,1,0,0
"And then after that on X, he posted just a bullet point of what he plans to do when it comes to the southern border.",Donald Trump,Arizona,-1,0,0
"If he does accomplish all of those things, what happens to the southern border crossing numbers: the numbers are going to go down.",Donald Trump,Arizona,-1,1,-1
Notice how on his bullet points he doesn't say he's getting rid of asylum claims.,Donald Trump,Arizona,1,0,0
Because you know what: he does care and he understands that there's some people that have viable asylum claims.,Donald Trump,Arizona,1,1,1
You would see the math add up and he doesn't quite get there.,Donald Trump,Arizona,-1,0,-1
"Well, Trump is there a lot, which suggests maybe he's not totally confident about it.",Donald Trump,Arizona,1,-1,-1
"However, what President Trump says where it's going to be too big to rig is very real.",Donald Trump,Arizona,0,-1,0
"President Trump, he took a bullet for us.",Donald Trump,Arizona,1,0,1
He then references a conversation in November 2020 in which he claims that you told him that the election was rigged and that he had won Arizona.,Donald Trump,Arizona,-1,-1,-1
