Sentences,Presidential_Candidate,State,Annotator_1,Annotator_2,Annotator_3,Final Annotation,Action
Everything he says out of his mouth is just negative.,Donald Trump,Arizona,1,-1,-1,-1,Keep
"Donald Trump was not a good president from the perspective of a mayor and he was, did not interact well with cities.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
"Donald Trump has been critical of that plan, but has offered nothing as an alternative.",Donald Trump,Arizona,-1,1,-1,-1,Keep
"Yeah, well, Trump has done a better job of messaging and his message is nothing but criticism of the current administration without offering up an alternative plan.",Donald Trump,Arizona,1,-1,-1,-1,Keep
The alternative plan that was presented was the bipartisan plan that was negotiated by Republican and Democratic senators and met with both parties approval until Mr. Trump decided that he didn't want to have a solution at the border because he didn't want the Biden administration to have any credit for that.,Donald Trump,Arizona,-1,-1,-1,-1,Keep
"And it's very much a wedge issue, an emotional issue that can be used for his personal political gain during the campaign.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
He wants to terminate the Constitution of the United States.,Donald Trump,Arizona,-1,-1,-1,-1,Keep
"Well, why didn't he get rid of the Constitution when he was the president: because it doesn't exist.",Donald Trump,Arizona,1,0,0,0,Keep
"And it's sad because Shannon Sharpe had her on his podcast, but I don't think he would have Donald Trump on his podcast.",Donald Trump,Arizona,-1,1,-1,-1,Keep
"I honestly believe if Donald Trump won on his podcast, he'll show it out.",Donald Trump,Arizona,-1,1,1,1,Keep
And people will be able to see Donald Trump is not a Nazi.,Donald Trump,Arizona,1,1,0,1,Keep
Donald Trump is not this crazy old man is going to somehow unravel the foundation of this country.,Donald Trump,Arizona,1,1,1,1,Keep
Donald Trump is so radical.,Donald Trump,Arizona,0,-1,-1,-1,Keep
"But speaking of AOC, you know, there's still the hysteria over Trump selling out Madison Square Garden.",Donald Trump,Arizona,1,-1,1,1,Keep
He's a dictator.,Donald Trump,Arizona,-1,0,-1,-1,Keep
He's going to ruin America.,Donald Trump,Arizona,-1,-1,-1,-1,Keep
He's Hitler.,Donald Trump,Arizona,-1,-1,-1,-1,Keep
"All of these things, the American people are going to be able to see for themselves that they're not true, that he cares about the American people.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
He's going to make this a big deal.,Donald Trump,Arizona,0,0,0,0,Keep
He's going to make the economy better.,Donald Trump,Arizona,1,1,1,1,Keep
"And so if they want to go this route, Trump's a fascist this.",Donald Trump,Arizona,1,-1,-1,-1,Keep
The man relinquished his position as the president and Biden is the president.,Donald Trump,Arizona,0,0,1,0,Keep
They want to jump out of windows at the campus because of Donald Trump.,Donald Trump,Arizona,-1,-1,1,-1,Keep
"But by all accounts, everybody that was there, everybody that's gone to a Trump rally, people are kind.",Donald Trump,Arizona,1,1,1,1,Keep
"How are you feeling in Arizona, do you feel like Trump's going to pull it out of that state, how are you feeling about the Senate race, like, what are things like on the ground there: well, it's hard to tell.",Donald Trump,Arizona,0,0,0,0,Keep
"You know, I honestly think Donald Trump dominated, but he still end up not getting the electoral college votes from the state of Arizona.",Donald Trump,Arizona,0,1,1,1,Keep
"It was incredible, you see so many Trump signs, so many Trump flags everywhere in Arizona.",Donald Trump,Arizona,1,1,1,1,Keep
"So I think in Arizona, Donald Trump is going to win by a lot.",Donald Trump,Arizona,1,1,1,1,Keep
"But I would hope that people would say I'm voting for Donald Trump, so I'm going to vote for Carrie Lake and I'm going to vote for the Republicans down ticket.",Donald Trump,Arizona,1,1,0,1,Keep
"And I really hope that the people will wake up because if you look at the polling, the polling match how I feel and how others are feeling because Donald Trump is dominating.",Donald Trump,Arizona,1,1,1,1,Keep
Nobody can do what Trump does.,Donald Trump,Arizona,1,0,1,1,Keep
But how do you think this is looking a week out: i personally think he's looking great for Donald Trump.,Donald Trump,Arizona,1,1,1,1,Keep
I think that Donald Trump is going to win this thing by a lot.,Donald Trump,Arizona,1,1,1,1,Keep
Donald Trump just sold out Madison Square Garden.,Donald Trump,Arizona,1,1,0,1,Keep
Donald Trump's momentum is out of control.,Donald Trump,Arizona,1,1,1,1,Keep
But I think Donald Trump is going to kick butt this time.,Donald Trump,Arizona,1,1,1,1,Keep
Elon Musk have endorsed Trump.,Donald Trump,Arizona,1,1,1,1,Keep
Trump went on Joe Rogan and it's the podcast probably 50 million views right now.,Donald Trump,Arizona,1,1,0,1,Keep
I mean Donald Trump has gone all these other podcasts that are more cultural and not just political podcast.,Donald Trump,Arizona,0,1,0,0,Keep
I mean he got shot.,Donald Trump,Arizona,1,1,1,1,Keep
Donald Trump did the podcast humanized him to millions of people that have never even thought about listening to Donald Trump.,Donald Trump,Arizona,1,0,1,1,Keep
"Y'all know how he talked, i mean I watched the whole thing and I was like God dang this is pretty interesting.",Donald Trump,Arizona,1,1,1,1,Keep
"That would have been far better leaders, it would have been far more confident against Donald Trump.",Donald Trump,Arizona,-1,-1,1,-1,Keep
But I think that Donald Trump is gonna win this thing pretty big.,Donald Trump,Arizona,1,1,1,1,Keep
"I want to go back there, i want to go into Thanksgiving and be like, God, we got Donald Trump.",Donald Trump,Arizona,1,1,1,1,Keep
We elected Donald Trump.,Donald Trump,Arizona,1,1,1,1,Keep
"Appreciate you as always, all right, folks, Donald Trump and the increasingly haunting realization that he will be reelected has broken the collective liberal brain and I just hope that their networks cover therapy.",Donald Trump,Arizona,1,1,1,1,Keep
"I think a lot of people are seeing that rally at Madison Square Garden, seeing all those people doesn't mean he's going to win the race.",Donald Trump,Arizona,1,0,0,0,Keep
"Well, a different country, a different time, what we heard at that rally should be enough to shake folks awake because he's talking about you.",Donald Trump,Arizona,-1,-1,1,-1,Keep
"No, he's going to deport you and put the white guy with someone else.",Donald Trump,Arizona,-1,-1,1,-1,Keep
"The man is out there, i sincerely hope their employers cover therapy on their health plans because they need it.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
"If you're a Trump supporter, be proud of it, but keep your head on a swivel because this is no joke.",Donald Trump,Arizona,1,1,1,1,Keep
"How many of you have voted for Donald Trump, how many of you voted for Donald Trump twice, and how many of you plan on supporting Donald Trump this November: none of you.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
"He deliberately lies, and then he lies about his lies.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
He never voted for Trump.,Donald Trump,Arizona,-1,-1,-1,-1,Keep
"Well, 2016, during that campaign, he mocked a disabled person.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
"I look at his economic policy, and he's basically talking about a huge national sales tax without any kind of approval from Congress.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
"And basically, at his whim, and he's looking at anywhere from 20 percent up to 60 percent of tariffs.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
It's not even like he's talking like a Republican.,Donald Trump,Arizona,1,-1,-1,-1,Keep
He's talking command and control economy at this point.,Donald Trump,Arizona,-1,1,-1,-1,Keep
He's not even giving us a choice.,Donald Trump,Arizona,-1,1,-1,-1,Keep
"This is not because here's the thing, we all know, he is not someone who is thinking about how to make your life better.",Donald Trump,Arizona,-1,-1,0,-1,Keep
"We can picture the Oval Office, right: and if he is elected, on day one, Donald Trump would walk into that office with an enemies list.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
"A Trump sales tax according to the economist would cost the average American family an additional $4,000 a year.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
He is not someone who is thinking about how to make your life better.,Donald Trump,Arizona,-1,-1,1,-1,Keep
We are done with him.,Donald Trump,Arizona,-1,-1,0,-1,Keep
"We got the Trump iconic mug, my favorite.",Donald Trump,Arizona,1,1,1,1,Keep
"But the lower propensity voters, which Trump needs to turn out to win, they are unprecedentedly Republican and the advantage is sizable.",Donald Trump,Arizona,1,1,1,1,Keep
"But you look at Arizona, Donald Trump, it's his best state in the polling in terms of these swing states.",Donald Trump,Arizona,1,1,1,1,Keep
Like Insider Advantage has Trump up by one.,Donald Trump,Arizona,1,1,1,1,Keep
"Trafalgar only shows Trump up by two, but you look at CBS News, they have Trump up three.",Donald Trump,Arizona,1,1,1,1,Keep
Now it's also true that there is a segment of the Republican electorate in the state of Arizona that is like the old guard McCain Republican that doesn't like Donald Trump.,Donald Trump,Arizona,-1,0,-1,-1,Keep
And probably doesn't vote for Donald Trump and probably never voted for Donald Trump.,Donald Trump,Arizona,-1,0,-1,-1,Keep
"And Republicans have more than enough of an advantage where if these people voted in 2020, Trump would have taken the state of Arizona.",Donald Trump,Arizona,1,-1,1,1,Keep
"Now Republicans lead by registered party by like 10%, they're the ones that are turning out, but also these newer voters who have never voted before that are joining Donald Trump and his movement.",Donald Trump,Arizona,0,1,1,1,Keep
"The question is, is there enough of them and are the lower propensity Democrat voters turning out? And if they do, which way are they going to vote is another question because the lower propensity voter, regardless of party registration, has been moving towards Donald Trump over the past four years.",Donald Trump,Arizona,1,1,1,1,Keep
"And it's true, when you look at the Hispanic vote, for example, if Republicans do get like a five point improvement, which they can Arizona, it's already Trump's.",Donald Trump,Arizona,1,1,1,1,Keep
"And if Trump is able to improve among white working class voters by a few points, when again, that's a demographic Biden did well with.",Donald Trump,Arizona,1,1,1,1,Keep
And the messaging is on Trump's side.,Donald Trump,Arizona,1,1,1,1,Keep
Trump and many of his MAGA fans are having trouble with their own fake audits that they've demanded while they're ramping up attacks on democracy.,Donald Trump,Arizona,-1,-1,-1,-1,Keep
Donald Trump speaking to a crowd with all of the usual pageantry.,Donald Trump,Arizona,1,0,1,1,Keep
"This was this weekend and this is part of what this MAGA movement has become, calls to decertify elections even when their own sham audits, which aren't valid and wouldn't change the outcome anyway, actually found that Trump lost by even more than he thought.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
"Republican Congresswoman Cheney, who of course was ousted from leadership over confronting Trump's big lie, is saying pay attention because this person who may run again for president is dangerous.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
"It seemed like a major development from the White House lectern, spurning executive privilege claims by Donald Trump if he tries to make them around January 6th.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
"Trump has been a part of this project for a long time, and I hope you will enjoy it.",Donald Trump,Arizona,0,0,0,0,Keep
"Only one man can fix that, that is Donald J. Trump.",Donald Trump,Arizona,1,1,0,1,Keep
"On behalf of the 16,000 men and women represented by the National Board of Patrol Council, we strongly support and endorse Donald J. Trump for President of the United States.",Donald Trump,Arizona,1,1,1,1,Keep
Donald Trump is not popular here.,Donald Trump,Arizona,-1,-1,-1,-1,Keep
"The stuff he does, I don't understand, you know, a riot on the Capitol.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
"With just 12 days left in the race for the White House, former President Donald Trump headed west for rallies in Arizona and Nevada spotlighting his signature issue immigration.",Donald Trump,Arizona,1,1,1,1,Keep
"It is close, there is no doubt about that, but it is probably the one state out of the seven that is pretty much assured of falling to Trump.",Donald Trump,Arizona,1,1,1,1,Keep
"So Arizona is a Trump state, and I think that needs to be pointed out there.",Donald Trump,Arizona,1,1,1,1,Keep
"And new Fox News power rankings out today, tracking the presidential race in the battleground state shows Trump has some momentum in Arizona.",Donald Trump,Arizona,1,1,1,1,Keep
She encouraged early voting and said women should get Trump's vote.,Donald Trump,Arizona,1,1,1,1,Keep
"Absolutely, but make no mistake, if Trump imposes his 50 state abortion ban, those protections disappear.",Donald Trump,Arizona,1,-1,-1,-1,Keep
I mean Trump is all doom and gloom.,Donald Trump,Arizona,-1,-1,-1,-1,Keep
Now he's on about Puerto Rico and being a garbage can.,Donald Trump,Arizona,-1,-1,1,-1,Keep
"So he is doom and gloom all the time, like everything's bad.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
I voted for him the previous time he ran.,Donald Trump,Arizona,0,1,1,1,Keep
Just I think he's a businessman.,Donald Trump,Arizona,0,0,1,0,Keep
He's not a politician and I think he knows what the country needs to get it back on track.,Donald Trump,Arizona,1,1,0,1,Keep
She's taken personal offence over Donald Trump's criticism of some migrant groups and she concedes she could head back to New Zealand if he wins.,Donald Trump,Arizona,-1,1,-1,-1,Keep
"Donald Trump, on the other hand, has been talking a big game about securing our border, but he does not walk the walk.",Donald Trump,Arizona,-1,0,-1,-1,Keep
Trump is currently on track to win.,Donald Trump,Arizona,1,1,1,1,Keep
"But besides the two morning console polls, which again heavily lean towards the left, every other poll has shown Trump ahead, with one of them showing a tie.",Donald Trump,Arizona,1,1,0,1,Keep
"And so currently, the state of Arizona is going to be tilled red based on the most recent poll, but Trump is performing a lot better than he was in 2020 when he lost the state entirely to Joe Biden.",Donald Trump,Arizona,1,1,1,1,Keep
"And in particular in Arizona, I was trying to aim at those folks there, pointing out that they have run the danger under Trump and his rhetoric.",Donald Trump,Arizona,-1,-1,1,-1,Keep
"We have seen the growth of hate groups, particularly over the last 20 years, and even more so, at a much greater rate, since Trump became president.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
"These hate groups, particularly, I guess Hispanics, which is what Trump and his gang are really pushing hard on.",Donald Trump,Arizona,-1,-1,1,-1,Keep
And former President Donald Trump escalated his rhetoric about the border while in Arizona.,Donald Trump,Arizona,0,1,0,0,Keep
"His focused on the past and himself, the other hours focused on the future and you.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
"For the fifth time in the past year, Donald Trump returned to border state Arizona to a big crowd in Tempe.",Donald Trump,Arizona,0,1,1,1,Keep
"Trump calling increased immigration a betrayal, saying he would increase penalties for illegal immigrants who commit violent crimes and institute a mass deportation, saying it's time to clean up the U.S. We're a dumping ground.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
Arizona and Georgia would be major victories for President Trump in the general election as both are states that President Biden won back in 2020.,Donald Trump,Arizona,0,1,0,0,Keep
"It was the party of John McCain and then Donald Trump and MAGA continue to attack John McCain, even after John McCain passed away.",Donald Trump,Arizona,-1,-1,0,-1,Keep
"Donald Trump has challenged John McCain's heroism, continues to make fun of the late great Senator John McCain.",Donald Trump,Arizona,-1,-1,1,-1,Keep
And you've got Donald Trump out there attacking John McCain and saying things like this.,Donald Trump,Arizona,-1,-1,-1,-1,Keep
"And then more recently, Donald Trump, I think mocking John McCain for not voting to kill Obamacare, the Affordable Care Act here.",Donald Trump,Arizona,-1,1,-1,-1,Keep
That's why they hate Donald Trump so much.,Donald Trump,Arizona,1,-1,-1,-1,Keep
"Arizona criminal court judge has told MAGA lawyer Rudy Giuliani to give it a rest and give it up and stop raising nonsensical motions that don't have one scintilla of evidence and support in the criminal prosecution by the Arizona attorney general against Rudy Giuliani and others, almost Donald Trump, who were involved with the attempt to stop the peaceful transfer of power.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
"What has changed: it's a three-point difference between the Democrat and Donald Trump, but stuff has changed.",Donald Trump,Arizona,0,0,0,0,Keep
"A lot of people may think these numbers would have changed after the momentum gained by the DNC, but then we also had a Trump rally in Arizona.",Donald Trump,Arizona,0,0,0,0,Keep
"It could basically just maintain, rFK Jr. at that rally endorsing Trump.",Donald Trump,Arizona,0,1,1,1,Keep
"The thing is that it's really going to matter everyone's vote because, remember, Biden only beat Trump in Arizona by just 11,000 votes.",Donald Trump,Arizona,0,1,0,0,Keep
"But I think the rubber is going to hit the road and the race is going to look a lot more realistic, I think, come mid September right in there once this race kind of settles down and these campaigns hunker in, because that's the only thing the polling showed is that, you know, with on the issues, Trump is doing better on some of the key issues that Arizona voters care most about, such as pocketbook issues and immigration.",Donald Trump,Arizona,1,1,1,1,Keep
They also have a lot more money left over than Trump and his side.,Donald Trump,Arizona,1,1,0,1,Keep
"We won't win, he won't win.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
We have an opportunity to turn the page on a decade of Donald Trump trying to keep us divided and afraid of each other.,Donald Trump,Arizona,-1,-1,1,-1,Keep
In 2016 the state of Arizona was won by Donald Trump over Hillary Clinton by 3.5% of the vote.,Donald Trump,Arizona,1,1,1,1,Keep
"Let's say Trump only wins, or Arizona excuse me, only votes 2% to the right of the popular vote.",Donald Trump,Arizona,1,1,1,1,Keep
Well Trump would then win the state by 0.2% if the numbers remained the same.,Donald Trump,Arizona,1,1,1,1,Keep
Some key counties I'm watching in the state of Arizona it all begins and ends with Maricopa County this is a county that was reliable Republican in 2012 and even before that in 2016 Trump won it by 2.8% he won statewide by a little under 4% of the vote in 2020 Joe Biden wins this county by 2.2% and Biden wins this state by just 0.3% of the vote.,Donald Trump,Arizona,0,0,1,0,Keep
If Trump is going to win the state of Arizona he either needs to do way better everywhere else like drastically better and keep Maricopa County at 2.2 or Trump needs to get this number at 2.2% slightly smaller than what it is.,Donald Trump,Arizona,0,0,1,0,Keep
So Trump's number one target has to be Maricopa County in Arizona.,Donald Trump,Arizona,0,0,0,0,Keep
Another county I'm watching is Yuma County not as big population as Maricopa it was 12.6 in 2012 for Romney 1.1 for Trump in 2016 6.2 for Trump in 2020 I'm interested in the margins here because for Trump if Trump is not able to improve in Maricopa he needs to do better in a county like Yuma where he did go up five points from 16 to 20 up to 6.2 but if Trump is not doing better in Maricopa this 6.2 needs to become like plus 10 or plus 9 to make up enough votes to try and counterbalance Maricopa so Yuma is what I'm watching for for the margins I know it'll go for Trump I'm watching for the margins on that one.,Donald Trump,Arizona,0,0,0,0,Keep
Navajo County the final county I'm looking at 7.9 for Romney in 2012 10.2 for Trump in 2016 8.3 for Trump in 2020 again another smaller county we fully expect to go for Donald Trump but what is the percentage margin of victory in that county where again if Maricopa is staying the same or only budging a bit you have to look at a county like this and say okay can Trump make up the votes in a county like Navajo and by how much this is one I'm very much closely watching.,Donald Trump,Arizona,1,1,1,1,Keep
"He suggested that you happened to turn black recently for political purposes, questioning a core part of your identity.",Donald Trump,Arizona,1,-1,-1,-1,Keep
"That was the same Mark Fincham, who was at the Capitol on January the 6th, speaking this weekend at Donald Trump's big lie-filled Arizona rally.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
"I talked to so many people there and every person that I spoke with said that they did not think Joe Biden was the rightful president, that Trump actually won and the Democrats had stolen the election.",Donald Trump,Arizona,1,1,0,1,Keep
"But I think one key thing is, as Elaine points down her dispatch from the Arizona rally, you know, the way to achieve legitimacy in the GOP these days is to rally behind Trump's election lies.",Donald Trump,Arizona,-1,1,-1,-1,Keep
"These groups have responded favorably to her focus on health care, education, and social justice, a contrast to Trump's policy emphasis on economic growth and immigration control.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
"Men, on the other hand, remain one of Trump's most reliable voting blocks in both Arizona and Nevada.",Donald Trump,Arizona,1,1,-1,1,Keep
"His messaging on economic strength, law and order, and conservative values resonates with male voters who view him as a champion of traditional American ideals.",Donald Trump,Arizona,0,1,1,1,Keep
Both Arizona and Nevada have been closely watched swing states in recent elections.,Donald Trump,Arizona,0,0,0,0,Keep
"So get out there and vote for Donald J. Trump, for Carrie Lakin, for all of our great candidates.",Donald Trump,Arizona,1,1,1,1,Keep
"And here's my solemn promise is that when Donald J. Trump is the president of the United States, we're going to go to war against the Mexican drug cartels, get that poison the hell out of our country and return basic sanity to the people of Arizona.",Donald Trump,Arizona,0,1,1,1,Keep
"So yes, under Donald Trump's leadership, we're going to build more homes.",Donald Trump,Arizona,1,1,1,1,Keep
"Yes, under Donald Trump's leadership, we are going to make mortgage interest rates more affordable, but most importantly, we are going to fight to ensure that American homes go to American citizens.",Donald Trump,Arizona,1,1,1,1,Keep
"I get to go around and talk about the fact that when Donald J. Trump was president, inflation was at 1.5% and our citizens could afford groceries.",Donald Trump,Arizona,1,1,1,1,Keep
"Well, when Donald J. Trump is president, that is going to change.",Donald Trump,Arizona,1,1,1,1,Keep
"Let's give the American people, Donald J. Trump.",Donald Trump,Arizona,1,1,1,1,Keep
He also said that he was going to get Mexico to pay for the wall.,Donald Trump,Arizona,0,1,0,0,Keep
"I also thought Donald Trump was a little Latino at first, I mean.",Donald Trump,Arizona,0,-1,0,0,Keep
"Also, Donald Trump just seems very unwell.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
"He was making noises throughout the night, just making weird noises while instead of even speaking here.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
"How unhinged, how demented he continues talking about Adam Schiff.",Donald Trump,Arizona,1,-1,-1,-1,Keep
I didn't know what he's talking about.,Donald Trump,Arizona,0,0,-1,0,Keep
"Watch this, did you see his right leg there: you see again, those are signs and symptoms of mini strokes.",Donald Trump,Arizona,0,-1,-1,-1,Keep
We really need to see what's there needs to be ramifications for what Donald Trump said at the beginning because I believe that was a felony threat right there.,Donald Trump,Arizona,-1,1,-1,-1,Keep
So for the course of this exercise we're going to go ahead and give Arizona to Trump which puts him at 230.,Donald Trump,Arizona,1,1,0,1,Keep
Alright if that's the case Trump's at 252.,Donald Trump,Arizona,1,0,0,0,Keep
"So first off, let's talk about Arizona, how is Arizona trending so far: you've got to give it to Donald Trump right now.",Donald Trump,Arizona,1,1,1,1,Keep
"We see those very aggressive Trump supporters gathering outside the Maricopa County Elections Board, making a lot of noise and making it hard for poll workers to end their shifts and get to their cars.",Donald Trump,Arizona,1,1,0,1,Keep
We have been talking for weeks about what Republican voters took away and what they thought of the damning evidence and the allegations laid out by those closest to Donald Trump through these public hearings from the January 6th select committee.,Donald Trump,Arizona,-1,-1,-1,-1,Keep
Used investigators from the Arizona attorney general's office to go sniff around and do the best to build up a report showing that Donald Trump actually won.,Donald Trump,Arizona,1,-1,-1,-1,Keep
"She is the backing of Donald Trump, the backing of Paul Gosar, the backing of Mike Lindell.",Donald Trump,Arizona,1,1,1,1,Keep
"Donald Trump lost the state by just about 10,000 votes.",Donald Trump,Arizona,1,0,0,0,Keep
"And just quickly, just speaking of Arizona, Amy, and speaking of election, former President Trump was in Arizona over the weekend talking to his fans, thousands of them repeating the same mistruths about the election, saying he won.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
She's a registered independent and has previously voted for Donald Trump.,Donald Trump,Arizona,1,1,0,1,Keep
She moved to Arizona from Pennsylvania where her entire family they are Trump voters.,Donald Trump,Arizona,1,1,1,1,Keep
She categorically as categorically as you can said that she was not going to vote for Trump.,Donald Trump,Arizona,-1,0,-1,-1,Keep
"And they said, we're just not going to vote for, you know, President Biden and Donald Trump because they were too old.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
He said he was not going to vote for Donald Trump.,Donald Trump,Arizona,-1,-1,-1,-1,Keep
"But the Trump campaign was indeed the first ones to announce that they were planning on, you know, announcing this lawsuit alleging voter fraud.",Donald Trump,Arizona,0,0,0,0,Keep
"Is the Trump campaign considering legal action in Arizona: well, to be clear in Arizona as well, the Trump campaign has already been granted a motion to intervene in a state case over this Sharpie Gate conspiracy theory, as has the local Democratic Party here in the state of Arizona.",Donald Trump,Arizona,0,0,1,0,Keep
"They say it doesn't matter who runs against the president, that they think that former President Trump has this on lock.",Donald Trump,Arizona,1,0,1,1,Keep
"I well, I still feel like Trump's going to do better.",Donald Trump,Arizona,1,0,1,1,Keep
"Just based off recent events, his polls are skyrocketing.",Donald Trump,Arizona,1,1,1,1,Keep
And I think he's just already secured the presidency.,Donald Trump,Arizona,1,1,1,1,Keep
"His lead was often within the margin of error, meaning the race was competitive.",Donald Trump,Arizona,0,0,0,0,Keep
"Important Factors Immigration and Border Security Given Arizona's proximity to the U.S.-Mexico border, immigration remained a top issue, which typically favored Trump among conservative voters.",Donald Trump,Arizona,1,1,1,1,Keep
"Candidate Favorability Trump, despite his high-profile legal challenges, retained strong favorability among the Republican base.",Donald Trump,Arizona,1,1,1,1,Keep
"Conclusion At the time of the mid-September polling, Arizona's electoral outlook remained uncertain, with Trump holding a small but not definitive lead.",Donald Trump,Arizona,1,1,1,1,Keep
It's one different thing It's very interesting to watch and if you're watching Donald Trump Donald Trump doesn't know what to do. He's got no idea what to do.,Donald Trump,Arizona,-1,-1,-1,-1,Keep
"Well, good afternoon, Connell, to all your viewers, so when President Trump visited Cochise County about three weeks ago, I think now maybe a month ago, we had two days before his arrival, we had an individual go onto social media and made threats to harm President Trump.",Donald Trump,Arizona,1,-1,-1,-1,Keep
Do you think Donald Trump is a fascist: yes I do.,Donald Trump,Arizona,-1,-1,-1,-1,Keep
Trump says Kelly was lying out of pure Trump derangement syndrome hatred.,Donald Trump,Arizona,-1,-1,-1,-1,Keep
So you don't think it's stupid anymore: i think what he did and how he did it was did not make much sense because he actually didn't do much of anything.,Donald Trump,Arizona,-1,-1,-1,-1,Keep
Gary Blasingale is voting for Trump.,Donald Trump,Arizona,1,1,1,1,Keep
Tonight with less than two weeks to election day former President Trump hitting critical battlegrounds including the campus of Arizona State.,Donald Trump,Arizona,0,0,1,0,Keep
A second case involving Trump's handling of classified documents was dismissed by a Trump appointed federal judge.,Donald Trump,Arizona,-1,0,-1,-1,Keep
We got to lock him up.,Donald Trump,Arizona,-1,-1,0,-1,Keep
The White House says the president was just referring to politically defeating Trump.,Donald Trump,Arizona,-1,-1,1,-1,Keep
"How dare they. Donald Trump has said that abortion access should be left up to the states, but he's been inconsistent about whether he would oppose a federal abortion ban.",Donald Trump,Arizona,-1,-1,1,-1,Keep
It just isn't a Donald Trump state.,Donald Trump,Arizona,-1,0,-1,-1,Keep
Donald Trump is a 78 year old billionaire who has not stopped whining about his problems since he rode down his golden escalator nine years ago.,Donald Trump,Arizona,-1,-1,-1,-1,Keep
Donald Trump promising mass deportations.,Donald Trump,Arizona,1,0,0,0,Keep
"He will ban abortion nationwide. He will restrict access to birth control put IVF treatments at risk and force states to monitor women's pregnancies, and you don't have to take my word for it.",Donald Trump,Arizona,-1,0,-1,-1,Keep
It's what he will do if elected you can be sure he will bring back family separation policies only on a much greater scale than last time and it is time then to turn the page on Donald Trump.,Donald Trump,Arizona,-1,-1,-1,-1,Keep
Trump leads by 2 points.,Donald Trump,Arizona,1,0,1,1,Keep
I'm not sure any American President has ever uttered those words other than Donald Trump.,Donald Trump,Arizona,-1,-1,-1,-1,Keep
"For those of you who haven't been paying attention, you know, at Trump's rallies, he has been making it a point to tell everyone, get out and vote early, get out and vote early.",Donald Trump,Arizona,0,0,0,0,Keep
"Where this section of border wall built during the Trump years abruptly ends, he lost before it could be completed, cartels who often abuse and exploit migrants then leave them here at the doorstep of America.",Donald Trump,Arizona,-1,-1,1,-1,Keep
"It's just been going on for too long, well, I think what some people forget is there was a bipartisan bill that was ready to be voted on, and Trump sort of killed it.",Donald Trump,Arizona,1,-1,-1,-1,Keep
Donald Trump says things that we don't like.,Donald Trump,Arizona,1,-1,-1,-1,Keep
"Well, you decide, the New York Times released a poll early this morning showing former President Trump has rebuilt his lead in Arizona.",Donald Trump,Arizona,1,1,1,1,Keep
She's voting for Donald Trump.,Donald Trump,Arizona,1,1,1,1,Keep
She thinks he will win this time because of inflation and because of the immigration issue.,Donald Trump,Arizona,1,0,1,1,Keep
"They're not closet Trump supporters anymore, and it's not taboo to be a Trump supporter.",Donald Trump,Arizona,1,-1,1,1,Keep
"What they tell us, and they've told us on the past trips, is that that is largely economics, that people just feel bruised, people have nostalgic memories of the pre-COVID Trump economy, interest rates were lower, there were more jobs, grocery prices were lower.",Donald Trump,Arizona,1,1,1,1,Keep
"They remember how hard COVID hit them, and they remember before that when Trump was president, things here were booming.",Donald Trump,Arizona,1,1,1,1,Keep
"And some of them want to go back, and they think that's the way to do it, even though they are repulsed by Trump's toxic comments about immigrants and about Latinos.",Donald Trump,Arizona,1,-1,1,1,Keep
But there is a significant amount of support and energy for Donald Trump that I wasn't necessarily expecting.,Donald Trump,Arizona,1,1,1,1,Keep
The striking thing about the polling is that she trails Donald Trump in every poll that we've had in Arizona.,Donald Trump,Arizona,0,1,1,1,Keep
That's interesting to hear how there's this divergence in how people Republican voters specifically see Kerry Lake versus Trump in a state like Arizona.,Donald Trump,Arizona,-1,-1,-1,-1,Keep
And quite honestly I think what happened is the McCain Republicans in Arizona hate Donald Trump so much that they sat on the sidelines.,Donald Trump,Arizona,-1,-1,1,-1,Keep
What we hear from voters is basically there's only one Donald Trump.,Donald Trump,Arizona,0,1,1,1,Keep
"It was an afternoon filled with music from Los Tigres del Norte, and a proud vocal against the second presidency for Donald Trump.",Donald Trump,Arizona,1,1,1,1,Keep
