Sentence,Candidate,State,Vote 1,Vote 2,Final Sentiment
"I still think it will be under five points no matter who wins the election, even if Kamala Harris has a quote unquote massive victory nationwide because Pennsylvania is born to be about a ground state.",Kamala Harris,Pennsylvania,0,1,0
"A massive, massive change, and as I said, with Pennsylvania goes Michigan, 65 percent chance for Kamala Harris victory.",Kamala Harris,Pennsylvania,1,1,1
"Wisconsin, 60 percent chance for Kamala Harris victory, this is where you see Pennsylvania and the Rust Belt states move in unison in favor of Vice President Harris.",Kamala Harris,Pennsylvania,1,1,1
"And I cannot also ignore the fact that Tim Walz being added onto the ticket has done phenomenally, found a phenomenal thanks for Kamala Harris's campaign.",Kamala Harris,Pennsylvania,1,1,1
"And so very, very different circumstances, and because he hails from the Rust Belt and because he adds that level of electability, he adds to the Kamala Harris ticket.",Kamala Harris,Pennsylvania,1,0,0
"Those 19 electoral votes, if they go to Trump, he wins the election.",Donald Trump,Pennsylvania,0,1,0
"If that happens, Donald Trump genuinely could win the election on Pennsylvania alone.",Donald Trump,Pennsylvania,0,1,0
"And it is really hard to see, now that Kamala Harris is building out this advantage and expanding her lead.",Kamala Harris,Pennsylvania,0,1,0
"I mean, we see that on the five thirty eight numbers here, she's ahead by two point eight percent.",Kamala Harris,Pennsylvania,1,0,0
She's changing the perception.,Kamala Harris,Pennsylvania,1,0,0
Kamala Harris is winning Pennsylvania.,Kamala Harris,Pennsylvania,1,1,1
"Voters said they trusted him, trusted Trump on taxes, on housing, on all these issues.",Donald Trump,Pennsylvania,0,1,0
You're starting to see voters warm up to her on her economic vision.,Kamala Harris,Pennsylvania,1,1,1
"Well, so when we consider the contrasting economic visions here and frankly where the candidates have been, Harris made that comment on childcare in Philadelphia with the NABJ, one of the swing states, one of the key states we're talking about here.",Kamala Harris,Pennsylvania,0,1,0
"Donald Trump, meantime, is going to Long Island this evening to talk about the salt cap, something that according to the Committee for a Responsible Federal Budget, actually 92% of the benefits of that go to the top 10% of earners in states like New York and California, not these states that we're talking about, Laura.",Donald Trump,Pennsylvania,0,1,0
"Harris is up double digits in that state, although we should point out here, he is the one that put the salt cap into place in the first place in 27.",Kamala Harris,Pennsylvania,1,0,0
"Democrats and Harris are still saying, look, we're going to pay for some of this new spending with tax increases on the wealthy and corporations, but not doing a lot to bring down overall spending.",Kamala Harris,Pennsylvania,-1,0,-1
The flip side of it is how humiliating is it that Trump lost to a guy who didn't leave his basement: right.,Donald Trump,Pennsylvania,-1,-1,-1
"Like if if anyone concedes that that's what Biden did, it makes it all the more embarrassing that Trump lost to that guy.",Donald Trump,Pennsylvania,-1,-1,-1
Trump's record is a disaster.,Donald Trump,Pennsylvania,-1,-1,-1
The Trump announcement next Tuesday will be on those platforms.,Donald Trump,Pennsylvania,0,0,0
Many of them don't want to vote Trump for whatever the reason may be.,Donald Trump,Pennsylvania,-1,-1,-1
"I don't know what the reason is, but a lot of them don't want to vote Trump.",Donald Trump,Pennsylvania,-1,-1,-1
"However, a lot of them don't want to vote Kamala either.",Kamala Harris,Pennsylvania,-1,-1,-1
They don't like her.,Kamala Harris,Pennsylvania,-1,-1,-1
They think she is too extreme.,Kamala Harris,Pennsylvania,-1,0,-1
Now this is of no surprise because I've been following Kamala and her national political aspirations for a while.,Kamala Harris,Pennsylvania,0,0,0
"She was not popular, people didn't like her.",Kamala Harris,Pennsylvania,-1,-1,-1
Nobody liked her.,Kamala Harris,Pennsylvania,-1,1,-1
"She was polling, so poorly she was behind Pete, booty gig, Amy Klobuchar, all these randos on a democratic side.",Kamala Harris,Pennsylvania,-1,0,-1
"She pulled behind, but now all of a sudden everybody likes her and she's bringing new energy into the party.",Kamala Harris,Pennsylvania,1,1,1
Pacey supported Nikki Haley but won't vote for Donald Trump.,Donald Trump,Pennsylvania,0,1,0
"Ever, and he sees Kamala Harris as more liberal than he would like.",Kamala Harris,Pennsylvania,0,1,0
"You're going to vote, you call yourself a Reagan Republican and you vote for Kamala Harris, who is the exact opposite of all things conservative.",Kamala Harris,Pennsylvania,-1,0,-1
"There would have been no way, you think Harris can win Pennsylvania: i think she can.",Kamala Harris,Pennsylvania,0,1,0
"I think the energy she's brought to the campaign, the fact that she's a woman and women's rights are, are going to be a big deal here in Pennsylvania.",Kamala Harris,Pennsylvania,1,1,1
"Let's pause here for a second, now, Kamala may have had a better chance at winning Pennsylvania.",Kamala Harris,Pennsylvania,0,1,0
"If she was able to select Pennsylvania's governor as surrender mate, Josh Shapiro, but there was a little bit of a problem because the Democrats have an issue with anti-Semitism in the party.",Kamala Harris,Pennsylvania,-1,1,-1
"So if she was to nominate him to be the VP, that would probably hurt her more nationally, even if it would give her a bit of a boost in Pennsylvania, which is probably why they selected the Kami teacher, quote unquote, from Minnesota by way of Nebraska and Tim Walts.",Kamala Harris,Pennsylvania,-1,-1,-1
She worries about Trump's course tone and what she sees as angry populism.,Donald Trump,Pennsylvania,-1,-1,-1
Because I don't want to see Trump elected after the chaos of the prior four years.,Donald Trump,Pennsylvania,-1,-1,-1
"All right, he says she's read things that worry her about Harris, about immigration policy and about being tough on her staff.",Kamala Harris,Pennsylvania,0,-1,0
She's angry that Trump constantly attacks courts and judges and election results.,Donald Trump,Pennsylvania,-1,-1,-1
"But now it's, it's a harder call just because I am not a fan of Donald Trump.",Donald Trump,Pennsylvania,0,-1,-1
The same people will be behind the scenes running the country because Kamala is incompetent.,Kamala Harris,Pennsylvania,-1,-1,-1
"Kamala don't know, kamala is a general idiot, like worse than the normie mouth breather.",Kamala Harris,Pennsylvania,-1,-1,-1
He's not a threat no more.,Donald Trump,Pennsylvania,-1,0,-1
I don't You know people make everything about Trump supporters seem horrible and bad.,Donald Trump,Pennsylvania,-1,-1,-1
"So all my Puerto Ricans, let's stay United Let's vote for Trump.",Donald Trump,Pennsylvania,0,1,0
And now I'm on Kamala's team.,Kamala Harris,Pennsylvania,1,0,0
They're going to help get him across the goal line.,Donald Trump,Pennsylvania,0,1,0
"But they they have a lot of synergy at the top of the ticket where Trump appeals to that working class, middle class union Democrat.",Donald Trump,Pennsylvania,0,1,1
"I mean, without Pennsylvania, I don't see how Kamala has a path at all.",Kamala Harris,Pennsylvania,-1,0,-1
"There are some Democrats being very vocal, others speaking on background, but they're worried about Harris's momentum.",Kamala Harris,Pennsylvania,0,-1,0
Their concern voters still don't see how she's different than President Biden.,Kamala Harris,Pennsylvania,-1,0,-1
I would much rather have our team on the floor for the final two minutes of the game standing with Kamala Harris and Tim balls.,Kamala Harris,Pennsylvania,1,0,0
I think she's doing what she needs to do.,Kamala Harris,Pennsylvania,1,0,1
"Our oldest is our daughter, our daughter Sophia was born into this world with more rights than she has today simply because Donald Trump was president of the United States.",Donald Trump,Pennsylvania,-1,1,1
He bragged about how he ripped away the freedom for women to just simply be able to make decisions over their own bodies to start a family on their own timeline and their own terms to have a full range of medical care across this country.,Donald Trump,Pennsylvania,-1,1,-1
Far more numbers out there to support Kamala Harris.,Kamala Harris,Pennsylvania,0,1,0
Thank you Madam Vice President for your leadership both domestic and abroad and for your persistent and enduring advocacy for underserved communities all across the country.,Kamala Harris,Pennsylvania,1,1,1
"It is my humble pleasure to introduce our amazing Vice President of the United States, Kamala Harris.",Kamala Harris,Pennsylvania,1,1,1
"This could be a great sign when it comes to Donald Trump possibly winning the state of Pennsylvania, the most important state of the 2024 election.",Donald Trump,Pennsylvania,1,1,1
"So that's why it's down by more, but this is still pretty crazy when you look at the difference and you would say that would at least help Trump by you would have to say 20, maybe 30,000 votes.",Donald Trump,Pennsylvania,-1,0,-1
"And also on top of that with the voter registration with all the recent polls where Trump's outperforming his numbers in 2020 and 2016 and he won in 2016 and he barely lost in 2020, Pennsylvania is looking really good that you can see the data with Biden winning the state by 81 K. This is huge news for Trump's election chances because it means democratic mail and enthusiasm is falling off and not just by more than Republicans and raw numbers, but at twice the rate 2020 was a pandemic year.",Donald Trump,Pennsylvania,1,1,1
"Yeah, in-person is always going to favor Trump, so anytime you can see a decrease of around 15%, it is good.",Donald Trump,Pennsylvania,0,1,0
We would expect Pennsylvania and Wisconsin to go to Trump.,Donald Trump,Pennsylvania,1,0,0
"He would have to flip Georgia and Pennsylvania, both of those States.",Donald Trump,Pennsylvania,1,0,0
"Alexa, why should I vote for Kamala Harris: while there are many reasons to vote for Kamala Harris, the most significant may be that she has a strong candidate.",Kamala Harris,Pennsylvania,0,1,1
She's a strong candidate.,Kamala Harris,Pennsylvania,1,1,1
"Like that's the number one, you know, most generic thing you can say about someone if you're trying to make people vote for them, she's a strong candidate with a great track record.",Kamala Harris,Pennsylvania,1,1,1
"Yeah, she's got a great track record.",Kamala Harris,Pennsylvania,1,1,1
"She, she, I mean, she did win zero votes.",Kamala Harris,Pennsylvania,-1,1,-1
"No, no, no, she does have a good track record.",Kamala Harris,Pennsylvania,1,-1,1
"No, no, no, you're right, she has a good track record.",Kamala Harris,Pennsylvania,1,-1,1
Vice president Harris has already broken down a major gender barrier and her career.,Kamala Harris,Pennsylvania,0,-1,0
"And he was this big horrible person who killed, I mean, they said he killed millions.",Donald Trump,Pennsylvania,-1,-1,-1
Do you understand why that is: because they said that Donald Trump opened things up too quickly and he killed people because of it.,Donald Trump,Pennsylvania,-1,-1,-1
"Here, Donald Trump brags about, again, another unhinged lie.",Donald Trump,Pennsylvania,-1,0,-1
"Yeah, that's malignant narcissism right there, and of course, this follows the day before where Donald Trump said that January 6th was an insurrection caused by Nancy Pelosi.",Donald Trump,Pennsylvania,-1,1,-1
"No, and I know that the media wants to gaslight us and the media wants to have all of these narratives and and also hoist up fascism and try to normalize Donald Trump's behavior.",Donald Trump,Pennsylvania,-1,-1,-1
"But look, I think people are getting it when you actually speak with voters, especially independent voters and most Americans of about 42 43% of Americans identify as independent voters and they see Donald Trump talking about killing the border bill.",Donald Trump,Pennsylvania,0,-1,-1
They hear Donald Trump about killing common sense legislation to address the proliferations of guns.,Donald Trump,Pennsylvania,-1,-1,-1
"The other guy's a joke, trump is a joke.",Donald Trump,Pennsylvania,-1,1,-1
And Harris rose to the top of the ticket.,Kamala Harris,Pennsylvania,1,1,1
"Both voters remain firmly undecided, but newly energized, she has direction and I think it evens a playing field for the two candidates.",Kamala Harris,Pennsylvania,0,1,0
Biden's endorsement of Harris only pushing her further away.,Kamala Harris,Pennsylvania,-1,1,-1
She now volunteers at the recently opened Trump campaign office.,Donald Trump,Pennsylvania,1,0,0
Reading restaurant owner Cesar Lopez also recalls Harris's trip but hasn't been swayed yet.,Kamala Harris,Pennsylvania,0,0,0
They edit things He's been he's been his campaign's been working hard to do outreach to the black community Have you seen any of that stuff and do you think it's effective at all: yeah a little bit There's a lot of black voters a lot of black people going for Trump.,Donald Trump,Pennsylvania,0,1,0
I Like his policy with the border and that's my favorite I think we should need to deport all of the illegal immigrants and I think that we need to take our country back Absolutely.,Donald Trump,Pennsylvania,1,1,1
I believe that Biden and Kamala have destroyed the government and I think that's enough for us to win and turn the state red again Absolutely.,Kamala Harris,Pennsylvania,0,1,0
"Absolutely, they're supporting you said you like his values.",Donald Trump,Pennsylvania,1,1,1
That's why We are supporting him.,Donald Trump,Pennsylvania,1,1,1
I'm here to support my mother She's a huge Trump fan and I just thought I should be there to support her.,Donald Trump,Pennsylvania,0,1,1
"It's not right, it's un-american to do it like that One of the main major pitches from the Democrats about Kamala Harris is that she's a woman She'd break the last so-called glass ceiling.",Kamala Harris,Pennsylvania,-1,1,-1
What would you fear most about a Kamala Harris administration: her ineptitude and her Incompetence and her Her war on the Second Amendment.,Kamala Harris,Pennsylvania,-1,-1,-1
That's why I love Trump.,Donald Trump,Pennsylvania,1,1,1
I love women Just not her.,Kamala Harris,Pennsylvania,0,1,0
And I say was because earlier this summer he decided to write an op-ed in the Philadelphia Inquirer endorsing Kamala Harris as a local GOP leader.,Kamala Harris,Pennsylvania,0,0,0
Now to put this straight he has not been a supporter of Donald Trump for some time.,Donald Trump,Pennsylvania,0,1,0
Brand new polling data suggests that Donald Trump's on pace for victory in the key swing state of Pennsylvania.,Donald Trump,Pennsylvania,1,0,1
"What is up, people of the internet: it is me, Real American, back again with a new video, and today, we have to talk about the 2024 presidential election, because brand new data suggests that Donald Trump's on pace for victory in the key swing state of Pennsylvania.",Donald Trump,Pennsylvania,1,0,1
"Now, I am not saying it's a foregone conclusion Trump's gonna win Pennsylvania.",Donald Trump,Pennsylvania,0,1,0
"So if Harris is winning Pennsylvania, there's a good chance of the bare minimum she's up in Michigan, where at that point, yeah, she just needs one more state.",Kamala Harris,Pennsylvania,0,1,0
He is currently winning Pennsylvania by a couple points.,Donald Trump,Pennsylvania,1,1,1
"Well, you're losing Pennsylvania and therefore Trump's pathway to winning is all but secured.",Donald Trump,Pennsylvania,-1,1,-1
"Even RMG research the same pollster, a bunch of people on Twitter ran around with two weeks ago saying Kamala Harris has a surge.",Kamala Harris,Pennsylvania,-1,0,0
She's up by five points.,Kamala Harris,Pennsylvania,1,0,0
I'm not denying the idea that Kamala Harris is doing better than Biden.,Kamala Harris,Pennsylvania,0,1,0
"But yet again, it was because of pollsters like Sussacuan, Trafalgar, insider advantage, having Trump slightly ahead.",Donald Trump,Pennsylvania,0,1,0
And Emerson's not the only one in recent days to find Trump either tied or slightly ahead in Pennsylvania.,Donald Trump,Pennsylvania,0,0,0
They found Harris only up by a point.,Kamala Harris,Pennsylvania,0,0,0
"So if her best polls are Harris plus one from Signal, which I know is Republican pollster, but they tend to be accurate more often than not.",Kamala Harris,Pennsylvania,0,1,0
"If it's Harris plus one right now, that's not good, but it does show a consistent trend compared to just a week ago, a week ago, you had the New York Times Quinnipiac finding Harris plus three Harris plus four.",Kamala Harris,Pennsylvania,0,-1,0
Some of the national polls suggest Trump's up again.,Donald Trump,Pennsylvania,-1,0,0
"Hell, you could argue she's up by a point.",Kamala Harris,Pennsylvania,0,-1,0
She's probably done because that's supposed to be her best polling.,Kamala Harris,Pennsylvania,0,1,0
"They were banking on that, but now it's clear that there really isn't any search for Harris and any surge.",Kamala Harris,Pennsylvania,0,1,0
"If this pace keeps up for Trump, he's going to win Pennsylvania quite easily.",Donald Trump,Pennsylvania,1,1,1
"Like I'm not saying by 10 points, but compared to like 2020 and 2016, he might win it by two to three points.",Donald Trump,Pennsylvania,0,1,0
"The visits that Harris made to regions such as Beaver County, which are often given less attention by national campaigns, were particularly acknowledged by him.",Kamala Harris,Pennsylvania,1,0,1
Shapiro believes that Harris is the best candidate for the state.,Kamala Harris,Pennsylvania,1,1,1
Harris has established many field offices throughout the state.,Kamala Harris,Pennsylvania,1,0,0
"Shapiro added an additional indication of the ideological split that exists between the two parties when he compared this accomplishment to Trump's Project 2025, which has the purpose of eliminating the Department of Education.",Donald Trump,Pennsylvania,-1,1,-1
"And now continues doing so, it continues so, and now that he is facing pressure from the American people, he's doing what he's always done when he faced that pressure, which is he dodges, he ducks and he lies.",Donald Trump,Pennsylvania,-1,-1,-1
"So that was a huge surprise, and, yeah, it was just it was awesome to meet a former president and especially Donald Trump.",Donald Trump,Pennsylvania,1,1,1
"Standing behind a bulletproof glass, Trump received a roaring welcome.",Donald Trump,Pennsylvania,1,1,1
President Trump must win to preserve the Constitution.,Donald Trump,Pennsylvania,1,1,1
"This is a must-win situation, must win, donald Trump's campaign also shared aerial footage from Butler showing thousands of attendees.",Donald Trump,Pennsylvania,1,1,1
"The Democrat is averaging at about 49.7%, while her Republican rival is at about 46.3%.",Kamala Harris,Pennsylvania,0,0,0
"Out of the seven swing states, Harris leads in Pennsylvania, Nevada, Michigan and Wisconsin.",Kamala Harris,Pennsylvania,1,0,0
I am playing it as if Trump might win and I should be more optimistic.,Donald Trump,Pennsylvania,0,1,0
"Trump's crowd in Butler, Pennsylvania yesterday or the day before yesterday, rather, was legitimately massive.",Donald Trump,Pennsylvania,1,0,1
"We should be optimistic that if we all get out and vote, Harris will win.",Kamala Harris,Pennsylvania,1,1,1
Harris is ahead by four points here.,Kamala Harris,Pennsylvania,1,0,0
It's okay as long as our side wins and and and by the way I'm sorry gentlemen I've noticed this especially with some men who seem to think Trump's behavior the bullying and the putting people down is a sign of strength and I am I am here to tell you that is not what real strength is.,Donald Trump,Pennsylvania,0,1,0
"Vote for Kamala Harris as the next president of the United States, vote for Tim Walz as the next vice president of the United States, vote for Bob Casey and this whole incredible Pennsylvania Democratic ticket, help your friends and family members and neighbors and co-workers do the same because if enough of us make our voices heard we will leave no doubt about the election outcome.",Kamala Harris,Pennsylvania,1,1,1
"Because right now, even though she is still trying to reach undecided voters, that small sliver, Jeff, she very much is trying to close that enthusiasm gap that President Biden had with the key elements of her base.",Kamala Harris,Pennsylvania,0,1,0
"And she also recently made racist comments about Kamala Harris on social media site X. She said, if Kamala Harris wins, the White House will smell like curry, and White House speeches will be facilitated with a call center.",Kamala Harris,Pennsylvania,-1,1,-1
Former President Trump was asked about Laura Loomer today.,Donald Trump,Pennsylvania,0,0,0
"And he did not disavow her, did not condemn her comments.",Donald Trump,Pennsylvania,-1,1,-1
"Specifically, when asked about her 9-11 conspiracy theories, he instead said that she is a supporter of his, who is a free spirit and a strong person.",Donald Trump,Pennsylvania,0,1,0
They think they see the danger here politically for this association.,Donald Trump,Pennsylvania,1,-1,-1
And look at all this Trump support.,Donald Trump,Pennsylvania,-1,0,-1
Trump support for as far as the eye can see.,Donald Trump,Pennsylvania,0,1,0
"Ba ba ba ba ba ba ba ba ba ba ba, yeah, so lots of Trump love, i don't know about numbers, but I would probably I'd probably say is a few thousand people here.",Donald Trump,Pennsylvania,0,1,0
"Southern Pennsylvania, they're in Trump's pocket.",Donald Trump,Pennsylvania,1,0,0
"It seems, isn't it, doesn't it seem that Trump has struck a nerve in Pennsylvania: i think so.",Donald Trump,Pennsylvania,1,-1,-1
I think it's working for Trump.,Donald Trump,Pennsylvania,1,0,0
"We were fighting, we were fighting with Trump.",Donald Trump,Pennsylvania,0,-1,0
They came here to support him because they know what will happen if Trump does not become president.,Donald Trump,Pennsylvania,0,1,0
"So everybody's with Trump, they're all for Trump.",Donald Trump,Pennsylvania,1,0,0
So I absolutely love Trump.,Donald Trump,Pennsylvania,1,1,1
I absolutely love him.,Donald Trump,Pennsylvania,1,1,1
"But I'm pretty sure that if Kamala Harris gets elected, we will become a communist country.",Kamala Harris,Pennsylvania,-1,1,-1
"Donald Trump's recent legal victory in Pennsylvania, where the state Supreme Court upheld the requirements for mail-in ballots to be signed and dated, has significant implications for his chances in the upcoming presidential election.",Donald Trump,Pennsylvania,1,1,1
The recent ruling provides a tangible victory that Trump's campaign can use to energize supporters.,Donald Trump,Pennsylvania,1,1,1
Trump can use the ruling to emphasize that his campaign is fighting for the principles he has championed throughout his political career.,Donald Trump,Pennsylvania,1,-1,1
We don't have the local connection with Harris.,Kamala Harris,Pennsylvania,-1,0,0
He's trying to distance himself from Harris very clearly.,Kamala Harris,Pennsylvania,0,1,0
"If Kamala Harris wins Pennsylvania, she will be president.",Kamala Harris,Pennsylvania,1,1,1
"Her campaigns in Pennsylvania focus on policies that aim to improve the lives of residents, particularly in the post-COVID-19 context.",Kamala Harris,Pennsylvania,1,1,1
"This is so dramatic and so different than anything that has happened before, all eyes are on Kamala Harris as we wait for the first major decision of her presidential campaign.",Kamala Harris,Pennsylvania,0,0,0
I think it's a pretty interesting strategy She supports miss Harris's plan to continue backing Ukraine's military efforts to repel Russia Even as mr.,Kamala Harris,Pennsylvania,0,1,1
"So aside from her answer, which I do believe she needs to be much more clear on, at this stage, she should be very specific.",Kamala Harris,Pennsylvania,0,1,0
But she does need to have a better answer.,Kamala Harris,Pennsylvania,0,1,0
Then she has the slight advantage.,Kamala Harris,Pennsylvania,0,1,0
"It's exactly 220, but again, if Pennsylvania stays blue for Harris with 19 electoral votes, she has other options.",Kamala Harris,Pennsylvania,0,0,0
Harris has made impressive gains among younger voters.,Kamala Harris,Pennsylvania,1,1,1
"The suburban surge, Harris's key to victory: perhaps the most dramatic development in Pennsylvania is Harris's surge in suburban areas.",Kamala Harris,Pennsylvania,1,0,1
And Harris's ability to appeal to them could prove decisive.,Kamala Harris,Pennsylvania,1,1,1
Demographics that have grown increasingly disillusioned with Trump's rhetoric and policies.,Donald Trump,Pennsylvania,-1,-1,-1
"In contrast, trump's strength remains solid in rural Pennsylvania.",Donald Trump,Pennsylvania,0,1,0
The narrowing gap suggests that even some of his most loyal supporters are reconsidering their options.,Donald Trump,Pennsylvania,-1,0,-1
Trump's message of economic strength and job creation resonates strongly with voters concerned about inflation.,Donald Trump,Pennsylvania,1,1,1
This reflects the strong support Trump has built among voters who prioritize border security and tougher immigration policies.,Donald Trump,Pennsylvania,1,1,1
Harris's ability to consolidate support among younger voters and suburban residents in Pennsylvania has given her a narrow lead.,Kamala Harris,Pennsylvania,0,1,0
Harris's momentum in Pennsylvania's suburbs and among younger voters provides her with a path to victory.,Kamala Harris,Pennsylvania,1,0,1
"But former President Trump has his own issues in Pennsylvania, the suburbs.",Donald Trump,Pennsylvania,-1,0,-1
"And as of right now, her and Trump have not spoken.",Donald Trump,Pennsylvania,0,0,0
Like he could just really drive out the support in these red counties in Pennsylvania.,Donald Trump,Pennsylvania,0,1,0
"Now, Trump campaign officials tell us that's no coincidence, but they built this office as a campaign office for all.",Donald Trump,Pennsylvania,0,-1,0
"Both voters remain firmly undecided, but newly energized, she has direction, and I think it evens a playing field for the two candidates.",Kamala Harris,Pennsylvania,0,1,0
"It's just, I don't trust her.",Kamala Harris,Pennsylvania,-1,-1,-1
"Why: because her background, I don't trust her.",Kamala Harris,Pennsylvania,-1,-1,-1
"Reading restaurant owner Cesar Lopez also recalls Harris' trip, but hasn't been swayed yet.",Kamala Harris,Pennsylvania,0,0,0
"Mark, Momma Kamala wants to ban fracking.",Kamala Harris,Pennsylvania,0,-1,0
"She no longer supports that, and now you have the New York Times, the Washington Post coming out recently and saying Kamala is not talking about climate at all anymore.",Kamala Harris,Pennsylvania,-1,1,-1
"Harris, as far as we know, again, they've gone silent on all of these plans with EVs.",Kamala Harris,Pennsylvania,-1,0,0
"All right, so, Mary Alice, you you're in Pennsylvania right now where Vice President Kamala Harris held a rally last night.",Kamala Harris,Pennsylvania,1,0,0
Both she and Donald Trump are so so focused on that state.,Donald Trump,Pennsylvania,-1,0,-1
Trump has a pretty good shot at winning back some other states.,Donald Trump,Pennsylvania,1,1,1
"During and after the debate, Donald Trump seemed to be on the defense.",Donald Trump,Pennsylvania,0,1,0
"You know, on the other side, Donald Trump, he is really leaning into his traditional base of support.",Donald Trump,Pennsylvania,0,1,0
He's talked about the strain on health care and housing.,Donald Trump,Pennsylvania,0,1,0
"But it was interesting, ABC got an interview with him and he also talked about how Trump's words are not helping.",Donald Trump,Pennsylvania,0,1,0
"The boy's father has also spoken out, really asking Trump to stop.",Donald Trump,Pennsylvania,0,-1,0
"We do know that when Trump was president, he worked to try to overturn temporary protective status, those sort of visas for Haitian immigrants.",Donald Trump,Pennsylvania,-1,0,-1
Kamala Harris is trying to juice the margins.,Kamala Harris,Pennsylvania,1,0,0
I don't think she understands Pennsylvania.,Kamala Harris,Pennsylvania,-1,0,-1
"Here is one thing that she is going to do, legalize recreational marijuana for black Americans.",Kamala Harris,Pennsylvania,1,0,0
Kamala having a tough time in Pennsylvania.,Kamala Harris,Pennsylvania,-1,-1,-1
"Inside Team Harris's unusual levels of finger pointing, which is very typical for these people, where there's no leadership at all.",Kamala Harris,Pennsylvania,-1,-1,-1
"They say that some Harris aides lack relationships with key party figures, particularly in Philadelphia and its suburbs.",Kamala Harris,Pennsylvania,0,1,0
"Which is strange, because Kamala is a person of color, and they tell us that that's super important.",Kamala Harris,Pennsylvania,0,1,0
"They say, lacks a deep knowledge of Philadelphia, where Kamala must drive voter turnout in order to win.",Kamala Harris,Pennsylvania,0,1,0
"Kamala has a lot going on here, man.",Kamala Harris,Pennsylvania,0,0,0
Now Harris's path to victory depends on her ability to turn out the Democratic voters of Philly.,Kamala Harris,Pennsylvania,0,1,0
"One Democrat said, I feel like we're going to win here, but we're going to win in spite of Harris's campaign, says Pennsylvania is such a mess and it's incredibly frustrating.",Kamala Harris,Pennsylvania,-1,-1,-1
"All right, so use the proper labels, now the Harris campaign provided a list of politico of several examples of surrogate events aimed at engaging voters of color, actress America and Ferrera and others are all going to be there.",Kamala Harris,Pennsylvania,0,1,0
Kamala Harris is going to create an opportunity agenda for black men.,Kamala Harris,Pennsylvania,0,1,0
"So when Trump said the word black jobs, remember they lambasted him for that.",Donald Trump,Pennsylvania,-1,0,-1
Now she's good paying jobs for black men which I think is different.,Donald Trump,Pennsylvania,0,1,0
And if black men weren't excited about that enough because Kamala Harris is going to be creating new opportunities.,Kamala Harris,Pennsylvania,1,1,1
So says Kamala Harris will legalize recreational marijuana breaking down unjust barriers that hold black men and other Americans back and making sure black Americans have opportunities to succeed as the marketplace takes shape.,Kamala Harris,Pennsylvania,1,1,1
Well she prosecuted black men for marijuana and other drug crimes.,Kamala Harris,Pennsylvania,-1,-1,-1
So we'll see how it works out for her.,Kamala Harris,Pennsylvania,-1,0,0
The hip hop community needs to hear more from VP Harris about what is her plans and plans of action for black males.,Kamala Harris,Pennsylvania,-1,0,0
A lot of black males are not into the Harris campaign.,Kamala Harris,Pennsylvania,-1,0,-1
So yeah they're just not into Kamala Harris.,Kamala Harris,Pennsylvania,-1,1,-1
The former first lady has been working behind the scenes to boost Harris and they're expected to have her appear on the campaign trail but it hasn't happened yet.,Kamala Harris,Pennsylvania,0,1,0
Trump is taking Pennsylvania.,Donald Trump,Pennsylvania,1,0,0
"There's still an inside straight she could get, but largely if Trump takes Pennsylvania, he's got this.",Donald Trump,Pennsylvania,0,1,1
She compared it to big tobacco saying they knew the effects of climate change.,Kamala Harris,Pennsylvania,0,0,0
"That's Democrats, they love using law fair to get their agenda done, but that's CNN burning on Kamala Harris.",Kamala Harris,Pennsylvania,-1,1,-1
"Here's Time Magazine, harris declined repeated request for an interview for this story.",Kamala Harris,Pennsylvania,-1,0,0
"So Kamala Harris unprecedented hidden, but she gets real brave when it comes down to destroying oil and fracking in Pennsylvania.",Kamala Harris,Pennsylvania,0,-1,0
"She's now lying, and she hasn't given a reason why she changed her position.",Kamala Harris,Pennsylvania,-1,-1,-1
"Yeah, she's flip flopped on a lot of issues related to energy.",Kamala Harris,Pennsylvania,-1,1,-1
She said she was going to ban plastic straws.,Kamala Harris,Pennsylvania,0,-1,0
She said she was going to ban fracking.,Kamala Harris,Pennsylvania,0,-1,0
And she said she would eliminate the filibuster to pass the Green New Deal now.,Kamala Harris,Pennsylvania,-1,0,0
"Now, why isn't she telling you the truth about her positions and her goals: but again, CNN is done with her garbage.",Kamala Harris,Pennsylvania,-1,1,-1
"Why do you think CNN is putting distance between them and Harris, do they not smell the looze already: they don't want to be part of it.",Kamala Harris,Pennsylvania,-1,-1,-1
They were exaggerating to help Kamala Harris.,Kamala Harris,Pennsylvania,0,1,0
But it's not just Kamala Harris that's getting smashed by media.,Kamala Harris,Pennsylvania,-1,0,-1
Ask her why she only goes on programs of people too weak to actually challenge her.,Kamala Harris,Pennsylvania,-1,-1,-1
"Here's the poly market, trump is higher than ever.",Donald Trump,Pennsylvania,1,0,0
"This just released, pennsylvania has flipped for Trump.",Donald Trump,Pennsylvania,1,0,0
Has Donald Trump up three: their polls in Pennsylvania in 2020 were amazing.,Donald Trump,Pennsylvania,1,1,1
Now Trump is plus three in Pennsylvania and you do have the Senate very close with Casey only up by two over McCormick.,Donald Trump,Pennsylvania,1,0,0
Some of these swing states really tightening some of them like Michigan and Pennsylvania flipping to where Trump is leading and Wisconsin is basically tied.,Donald Trump,Pennsylvania,0,1,0
"I mean, he's starting to lead all these states and these are, these are really good polling numbers for Trump in states like Pennsylvania where the margin is going to be very slim, but if you get a plus three, a plus four, you will have the overall edge in terms of the aggregate.",Donald Trump,Pennsylvania,1,1,1
