Sentence,Presidential_Candidate,State
"Trump's campaign will likely double down on its focus on economic issues and border security, two areas where he has maintained a strong base of support.",Donald Trump,Michigan
"For Harris, maintaining her lead in Michigan and Pennsylvania could be the key to securing a Democratic victory and continuing the party's legacy in the White House.",Kamala Harris,Michigan
And the latest polls suggest that Kamala Harris may be on the path to making history once again.,Kamala Harris,Michigan
Kamala Harris visiting Detroit this week and rolling out a new agenda focused on garnering support from black men.,Kamala Harris,Michigan
"Let's go, if the election were held today, who would win the election: kamala Harris.",Kamala Harris,Michigan
Who thinks Donald Trump would be better for the border: let's face it.,Donald Trump,Michigan
"Why is that, what is leading toward more support for him versus any other Republican: my brother is a firm Donald Trump support.",Donald Trump,Michigan
"I understand that, are you saying that the brothers that subscribe to Donald Trump, that feel like he would be better, have a slave mentality: many of us do still have a slavery mentality.",Donald Trump,Michigan
"The other thing you hear, at least for some of the people that are going to vote for Kamala Harris, is that they want to be a part of the history of the first black woman being a president.",Kamala Harris,Michigan
"The one guy said about Kamala Harris, I don't have enough information on her stance on immigration.",Kamala Harris,Michigan
"He goes, look, I don't want to give Donald Trump credit on this.",Donald Trump,Michigan
Maybe he'll come and save if she doesn't change her position.,Kamala Harris,Michigan
"What is it for Trump: well, I think it's a victory for Trump.",Donald Trump,Michigan
"Indeed, absolutely, and what sort of Christmas will Mr. Trump be having then, Greg: because he's looking at 2024.",Donald Trump,Michigan
"He's gotten, I think there's 91 kind of charges against him.",Donald Trump,Michigan
"After the raid, up 39, and then he faded again during when DeSantis had the great midterm election, re-election.",Donald Trump,Michigan
"Trump faded, then the indictments came along and he went from being basically tied with Trump to being down 50 as he is now.",Donald Trump,Michigan
So I think it really continues to help him.,Donald Trump,Michigan
"He's perfectly set up now for the primaries with these indictments, with the mugshot, with the raid on Mar-a-Lago.",Donald Trump,Michigan
"That's on a good day, so the real issue is can anyone else beat him besides Biden: i don't think Biden can beat him.",Donald Trump,Michigan
"It really was, this man was, he ticked all the boxes.",Donald Trump,Michigan
Nobody could say he was a kind of a soft leaning version of Trump.,Donald Trump,Michigan
He certainly was what many would call the full package of Republicanism.,Donald Trump,Michigan
"Absolutely, he's more conservative than Trump.",Donald Trump,Michigan
He's better at executing than Trump has ever been.,Donald Trump,Michigan
And he has a real appeal to the populist wing of the party.,Donald Trump,Michigan
The problem is a lot of those voters are very loyal to President Trump.,Donald Trump,Michigan
And it's really nothing that he's done.,Donald Trump,Michigan
He hasn't really changed his views on anything.,Donald Trump,Michigan
He hasn't really changed his campaign style.,Donald Trump,Michigan
"Because this is crucial what is happening here, it is crucial, and of course, one of the theories that would abound is that they were quite happy for Trump to be the nominee.",Donald Trump,Michigan
"Therefore these indictments, even if they recognized that it could easily boost support for him.",Donald Trump,Michigan
He's always had a ceiling on his support.,Donald Trump,Michigan
"There's always only about so far he can go, he's got a very passionate base, but he obviously puts off a lot of people.",Donald Trump,Michigan
He's someone who barely knows what day it is.,Donald Trump,Michigan
And he makes Trump look like a philosopher king by contrast.,Donald Trump,Michigan
I think that's the thing that's always really helped Trump is that the Democrat and the Democratic establishment have been so incredibly complacent about who they put up against him.,Donald Trump,Michigan
"Of course, Donald Trump makes a cameo.",Donald Trump,Michigan
"Indeed, and the funny thing is he really doesn't look any different.",Donald Trump,Michigan
And I know him and Biden are similar ages.,Donald Trump,Michigan
And it's often said Trump's a little overweight.,Donald Trump,Michigan
"But actually Trump looks pretty good, yeah, he's high energy.",Donald Trump,Michigan
"Correct, he's still running on all charges.",Donald Trump,Michigan
I think Trump is 78.,Donald Trump,Michigan
But he's different than Biden.,Donald Trump,Michigan
"Who's going to be the next president: oh, Trump's coming back.",Donald Trump,Michigan
"Vice President Harris started the morning in Pennsylvania, then on to Michigan for the second of three events today, with former Republican Congresswoman, Liz Cheney, targeting undecided independents and disaffected Republicans.",Kamala Harris,Michigan
"Now Trump won Michigan back in 2016, but lost it narrowly to President Biden four years ago.",Donald Trump,Michigan
"Liz Cheney, the former Congresswoman from Wyoming, is gonna be here today, but she also, the Vice President, picked up an endorsement from the daughter of Gerald Ford, Michigan's only president.",Kamala Harris,Michigan
Trump's visit to Grand Rapids marks many firsts.,Donald Trump,Michigan
His first time on the trail is a 2024 Republican presidential nominee.,Donald Trump,Michigan
"His first rally with running mate J.D. Vance and his first rally since the assassination attempt on his life, tonight we have team coverage of the event from both inside and outside of the arena.",Donald Trump,Michigan
Trump went after Democrats.,Donald Trump,Michigan
And he was very critical of Michigan Governor Gretchen Whitmer.,Donald Trump,Michigan
Lots of people in Grand Rapids tonight lining up for blocks to hear former President Trump speak at his first rally back since his assassination attempt.,Donald Trump,Michigan
This is the messages that he shared and what people thought of them.,Donald Trump,Michigan
I've been to like four of his rallies and it's just so inspirational and so patriotic.,Donald Trump,Michigan
Some saying they were excited Trump put so much attention on the state.,Donald Trump,Michigan
"Do you think he's going to win the state of Michigan in the election: because we've been so close both times, it's hard to say.",Donald Trump,Michigan
I do believe that he'll get more votes than he did the last two times.,Donald Trump,Michigan
"I believe he's going to kill it, he's going to crush it, he's going to win it.",Donald Trump,Michigan
He's going to win Michigan.,Donald Trump,Michigan
Donald Trump is set to win Michigan in a landslide.,Donald Trump,Michigan
Because I believe Donald Trump is doing very good in the state of Michigan and he has a huge shot of winning it this November.,Donald Trump,Michigan
"And when we look at the betting odds map, and no, this is not a prediction, we can see that he is now favored to win the state of Michigan, the most liberal of the Rust Belt Trio.",Donald Trump,Michigan
"Now he has a sizable chance of winning the state of Michigan because recently, folks, the election has been a nail biter.",Donald Trump,Michigan
"And when we look at the aggregate, we see Trump is up by half a percent.",Donald Trump,Michigan
"Just for reference, Clinton was up seven points, seven percent, and Trump won the state.",Donald Trump,Michigan
"So the fact that Trump is now leading in Michigan and of all the pollsters, look at Quinnipiac.",Donald Trump,Michigan
They've been the least friendly to Trump.,Donald Trump,Michigan
"I mean, that's a Trump versus Biden margin before he dropped out.",Donald Trump,Michigan
She said she's always supported Israel at the DNC.,Kamala Harris,Michigan
She did not give the Palestinian Americans even a five minute slot at the DNC.,Kamala Harris,Michigan
That's how she's treating this voter group.,Kamala Harris,Michigan
These folks are not going to vote for Kamala Harris as she just came out and she said that she wouldn't have done anything different from Biden.,Kamala Harris,Michigan
"So the fact that she's basically a Joe Biden 2.0 and you have Arab Americans, Muslim Americans coming out, protesting, this is not good in the state of Michigan with less than four weeks to go.",Kamala Harris,Michigan
"But if they don't come out and vote, Michigan could easily be won by a point or two for Donald Trump.",Donald Trump,Michigan
And there Harris only leads by half a percent.,Kamala Harris,Michigan
"Clinton was leading by six, trump won it by one.",Donald Trump,Michigan
This is huge for Donald Trump and he needs to keep visiting Michigan.,Donald Trump,Michigan
He needs to keep the momentum because Democrats don't really believe they're going to win.,Donald Trump,Michigan
Dems with data are extremely bullish on Trump winning.,Donald Trump,Michigan
Harris may lose six swing states.,Kamala Harris,Michigan
"We know that the polls don't mean everything, but Democrats behind closed doors are panicking at the fact that Harris is not a likable candidate and she is not like a Biden.",Kamala Harris,Michigan
She doesn't have the Obama nostalgia.,Kamala Harris,Michigan
She says she's not different from Biden at all.,Kamala Harris,Michigan
And she did it to herself.,Kamala Harris,Michigan
I don't feel bad for her at all because she has played both sides just like what Biden has done.,Kamala Harris,Michigan
"With Donald Trump, he may support Israel, but you know what you're getting when you vote for Trump.",Donald Trump,Michigan
"You know, he's not going to flip flop on the issue.",Donald Trump,Michigan
He is going to support Israel.,Donald Trump,Michigan
Trump is also doing very well with African American voters.,Donald Trump,Michigan
"This is terrible news for Kamala Harris, and she's running out of time to make up the margin.",Kamala Harris,Michigan
She is almost being locked out of getting 270 electoral votes.,Kamala Harris,Michigan
You do have the rural part of the state that I think should turn out for president Trump.,Donald Trump,Michigan
"And you do have the Detroit area, which has dictated the state's electoral history a lot in the past, but now everything is up in the air and you could see Trump eke out a very narrow victory in the state of Michigan.",Donald Trump,Michigan
But let's just say hypothetically that Donald Trump is likely to win Michigan or heavily favored.,Donald Trump,Michigan
That puts him at 250 electoral votes.,Donald Trump,Michigan
Trump winning Michigan gives him so many options.,Donald Trump,Michigan
"So if you combine that with Michigan and Wisconsin and Pennsylvania, I mean, the road for Trump's victory is endless with those additional 15 electoral votes.",Donald Trump,Michigan
"Let's say Harris holds onto that, and you have Michigan and you have Georgia.",Kamala Harris,Michigan
But solidifying Michigan is a huge deal for President Trump.,Donald Trump,Michigan
"Donald Trump chose JD Vance because he believed he would be a good running mate for the future of the GOP, not just for the 2024 ticket.",Donald Trump,Michigan
That question also stands for Kamala Harris.,Kamala Harris,Michigan
"She was sort of thrown into this position, and I don't think that anyone necessarily thinks of her as the next great Democratic Party leader.",Kamala Harris,Michigan
"This is fascinating, congresswoman Alyssa Slotkin warning Kamala Harris's underwater in Michigan polls.",Kamala Harris,Michigan
"What is your internal informal polling telling you when you talk to friends and when you talk to family about the state of play in Michigan: well, I'm surprised that she's just now admitting this because I've been saying this for weeks that Kamala Harris is not going to win Michigan at this point in the race.",Kamala Harris,Michigan
"And that is the demographic that she is struggling with the most, and apparently the white dudes for Kamala events just aren't cutting it.",Kamala Harris,Michigan
"You go back to 2016, Donald Trump carried the state by about 10,000 votes.",Donald Trump,Michigan
The chance that Harris wins the election if she loses in Michigan is just 7%.,Kamala Harris,Michigan
Kamala Harris is right now showing the poorest showing for any Democrat.,Kamala Harris,Michigan
"So the bottom line is Dearborn and the Arab Muslim vote very much up for grabs in Michigan, not a good sign for Kamala Harris.",Kamala Harris,Michigan
"Why is she ahead: you know, maybe I'm just too stupid and not sophisticated enough to figure this out.",Kamala Harris,Michigan
But I don't think she ought to quit.,Kamala Harris,Michigan
I think she ought to play through election day.,Kamala Harris,Michigan
"Well, I'll listen to the segment, it sounds like she should.",Kamala Harris,Michigan
How can Kamala Harris get the support of somebody who thinks that way: so let's back up.,Kamala Harris,Michigan
"Harris and Biden are saying we need to get, we need to have a ceasefire, we need to sit down and do that.",Kamala Harris,Michigan
"So I don't know why you would say, we're not gonna vote for the people that actually wanna try to effectuate a very difficult solution to the problem here as opposed to somebody says, I'm just whatever B.B. wants, I'm gonna give him.",Kamala Harris,Michigan
President Trump is just on it.,Donald Trump,Michigan
He knows exactly what he's talking about.,Donald Trump,Michigan
"While Harris has managed to turn around the polls since incumbent Joe Biden's exit, the numbers are still neck and neck.",Kamala Harris,Michigan
"The poll suggested that Harris was narrowly ahead in Wisconsin and Michigan and tied in five other swing states, Nevada, Georgia, North Carolina, Arizona, as well as Pennsylvania.",Kamala Harris,Michigan
"It is important to note that Donald Trump continues to defy all odds, despite his historic status as, quote, being a convicted criminal.",Donald Trump,Michigan
"The latest polling confirms that the Republicans are resting their loyalties with him, and he might even be able to convert some independents.",Donald Trump,Michigan
"When it comes to the issues on the ballot, Trump is doing exceedingly well.",Donald Trump,Michigan
"Already, momentum is shifting to his vice president Kamala Harris.",Kamala Harris,Michigan
What do you think it is about her: we know that she's a powerhouse speaker.,Kamala Harris,Michigan
She has a level of authenticity that you know you don't always see from politicians.,Kamala Harris,Michigan
"For weeks, young people have been sharing memes across social media highlighting Harris's speeches and affectations.",Kamala Harris,Michigan
She has been the Biden campaign's most effective messenger on the issue of abortion access and reproductive freedom.,Kamala Harris,Michigan
"She's pushing a strong pro-union message, promising jobs for workers without college degrees.",Kamala Harris,Michigan
"Trump, on the other hand, promised to boost American auto manufacturing by slapping tariffs on imported vehicles.",Donald Trump,Michigan
"He's focusing on hamtramck, home to many Arab American voters.",Kamala Harris,Michigan
Harris didn't ignore this group either.,Kamala Harris,Michigan
She acknowledged their struggles with the Israel-Palestine conflict and emphasized diplomacy for peace.,Kamala Harris,Michigan
Trump's appeal: he's targeting those dissatisfied with the current administration's foreign policy.,Donald Trump,Michigan
"Today, Vice President Harris continues her push in Michigan with a get out the vote rally in Detroit.",Kamala Harris,Michigan
"Nancy, good morning, good morning, Dana, yeah, Michigan is so central to Harris's chances that she's spending a second straight day in this state today.",Kamala Harris,Michigan
Tell him to go and vote for Trump.,Donald Trump,Michigan
These Harris supporters told us they're doing their part.,Kamala Harris,Michigan
"Trump has taken an unusual tack in Michigan lately, dissing the state's largest city twice in the past 10 days.",Donald Trump,Michigan
"On Friday, Harris called that unhinged.",Kamala Harris,Michigan
She also seized on a new report claiming Trump had passed on a planned media interview with aides citing exhaustion as the reason.,Donald Trump,Michigan
"If he can't handle the rigors of the campaign trail, is he fit to do the job: trump pushed back right away.",Donald Trump,Michigan
"Starting on Monday, Harris will be embarking on a series of moderated conversations with former Republican Congresswoman Liz Cheney.",Kamala Harris,Michigan
It's a tight race with Trump holding a 2% lead.,Donald Trump,Michigan
Trump has a slim 3% advantage here.,Donald Trump,Michigan
"She leads comfortably with 61% compared to Trump's 34%, a 27% advantage.",Donald Trump,Michigan
Harris has a comfortable 9% lead.,Kamala Harris,Michigan
But Donald Trump has been here multiple times.,Donald Trump,Michigan
"But a Trump voter is a strong, motivated voter, a mega voter is.",Donald Trump,Michigan
"They don'tâ€”you know, a lot of union members believe everything that Donald Trump tells them and it has no idea what the real record is.",Donald Trump,Michigan
"You keep trying to talk to people, have them understand that this is that Donald Trump.",Donald Trump,Michigan
One of the first things he did is to try to do a Muslim ban.,Donald Trump,Michigan
He talks about incarceration camps.,Donald Trump,Michigan
"But ladies and gentlemen, we've got another brand new update and Donald Trump has reached an absolute climax.",Donald Trump,Michigan
"Look at this lead for Kamala Harris, you can see it down here.",Kamala Harris,Michigan
"Look at all of this blue, it's collapsed.",Kamala Harris,Michigan
"It's completely collapsed, harris was up by two.",Kamala Harris,Michigan
"I mean, why are they including a tracking poll into this: it's, if TIPP, you know, they're going to release another poll tomorrow, I would imagine it could be for all we know Trump plus one.",Donald Trump,Michigan
"Fox news will as well, maybe Alice Intel will release one final poll, but they've been very consistent with their Trump plus three.",Donald Trump,Michigan
"You, I mean, USA today, Harris plus one Emerson Harris plus one, they've got all the States very, very close, but the big thing we're tracking right now real clear politics average.",Kamala Harris,Michigan
"It's not even a plus one plus three plus two plus two plus three, so these leads are looking very, very nice for Donald Trump.",Donald Trump,Michigan
Trump can lose the popular vote by one point and still very easily probably have a 95% chance to win the election.,Donald Trump,Michigan
He can lose it by two points and probably still win three points.,Donald Trump,Michigan
"The last two election cycles, the liberal cope is well, now they're over correcting and overestimating Trump when, I mean, we've got no factual basis of that.",Donald Trump,Michigan
"Couple that with Atlas Intel, the most accurate pollster of 2020 and 2022 saying Trump is up by around three.",Donald Trump,Michigan
"Their last three polls over the past three months, they've said Trump is up by three.",Donald Trump,Michigan
They are throwing the kitchen sink and more at him.,Donald Trump,Michigan
It's not working and you have the terrible Kamala Harris town hall last night.,Kamala Harris,Michigan
"It's probably not going to affect anything, but you'll look at these numbers and this really is an absolute high for Donald Trump.",Donald Trump,Michigan
"So it is over a hundred percent, but yeah, Trump's got around an 18%.",Donald Trump,Michigan
"Now he's back up to 62, it ebbs and flows.",Donald Trump,Michigan
There will be people betting on Harris.,Kamala Harris,Michigan
They think she's good value right now.,Kamala Harris,Michigan
"That's fine, it's going to happen, um, but overall, Trump is still the overwhelming favorite in a lot of these States in Georgia, in North Carolina, Arizona, Trump at 71, Nevada, Trump, and now it's up at 63 Michigan and Wisconsin have kind of hovered.",Donald Trump,Michigan
"They've kind of gone back down a little bit, but Trump's still the slight favorite there.",Donald Trump,Michigan
"But overall, man, I mean, you take a look at this, not these national numbers right now, Trump is on the verge of flipping.",Donald Trump,Michigan
"Harris is very unlikable, now Vance is more like than walls because people think walls is, is, is just, he's the weirdo now walls.",Kamala Harris,Michigan
"When she found her footing, she went up by like 1.8, 1.9, and she maintained it.",Kamala Harris,Michigan
"Um, and now it's been completely cut to where it looks like Trump's on the verge of flipping it at this point, uh, which is pretty remarkable.",Donald Trump,Michigan
"I believe, yeah, emerson still has Harris plus one.",Kamala Harris,Michigan
They've had Harris plus one for a while.,Kamala Harris,Michigan
"I don't know what that's about, but they just haven't pulled recently.",Kamala Harris,Michigan
"They had a Harris plus four, but either way, again, these numbers look amazing.",Kamala Harris,Michigan
"You know, you go back to the summer solid six point lead, even when Trump was doing way better than by doing significantly better than Biden, we weren't seeing the same correlation with the Senate.",Donald Trump,Michigan
"So, while Trump leads in most of these polls, Michigan remains highly competitive, and it could swing either way.",Donald Trump,Michigan
"Both of these states are critical to winning the election, and Ohio seems to favor Trump at this stage while Michigan is still a tight battleground.",Donald Trump,Michigan
"Two Trump signs on this lawn right here, i'm sure we'll see some more of those.",Donald Trump,Michigan
How do you feel about her chances here: i think her chances are pretty good.,Kamala Harris,Michigan
"I don't know, i don't agree with what Trump wants.",Donald Trump,Michigan
I would vote probably to bring Trump back and become a Republican because of the different things that have happened while he was president.,Donald Trump,Michigan
"President Trump, he's a businessman.",Donald Trump,Michigan
I believe he's better for our country and making sure we come number one.,Donald Trump,Michigan
"Both my parents are Trump supporters and they're like, you better vote for him.",Donald Trump,Michigan
Donald Trump came.,Donald Trump,Michigan
"No statistical difference between these candidates, here's how Obama vet and Harris A. David Plouffe puts it.",Kamala Harris,Michigan
"You have to assume that's now a distinct possibility, he says.",Kamala Harris,Michigan
And that is where Harris has sent Obama absolutely hammering his successor's mental state there.,Kamala Harris,Michigan
There are questions about his competence.,Kamala Harris,Michigan
The other day he had a town hall meeting.,Kamala Harris,Michigan
"He decided, no, I'm not gonna answer questions anymore.",Kamala Harris,Michigan
Have you noticed what he's like and that he wants unchecked power: harris almost certainly needs Michigan to win.,Kamala Harris,Michigan
You might remember all the way back to 2017 when he back then did an anti-Trump diss and shouted out Obama.,Kamala Harris,Michigan
The news tonight is that he and Obama will appear together at this rally.,Kamala Harris,Michigan
"He also told his fans, Eminem did, that he was drawing a line against Trump.",Kamala Harris,Michigan
Now this Detroit boost would be critical because Harris allies are openly concerned about losing states like Michigan or North Carolina.,Kamala Harris,Michigan
Trump was there today.,Donald Trump,Michigan
"When he's not complaining, he's trying to sell you stuff.",Donald Trump,Michigan
"Have you noticed that, who does that: gold sneakers, $100,000 watch, supposed to be Swiss watch, he says, the best watch.",Donald Trump,Michigan
"Why are you selling a watch, what are you doing, do you think Donald Trump ever changed his diaper: oh, no.",Donald Trump,Michigan
"He'd be like, Jeeves.",Donald Trump,Michigan
"Jeeves, change that diaper, tim's got skills, the other day I found out he can take a vintage truck apart and put it back together again.",Donald Trump,Michigan
"You think Donald Trump can do that: they say, well, you want to get rid of Obamacare.",Donald Trump,Michigan
"What would you replace it with: he says, well, I've got concepts of a plan.",Donald Trump,Michigan
"And that's something that Detroit native rapper Eminem has done before, literally using a song to give Obama props and draw a line with Donald Trump.",Donald Trump,Michigan
So I'm gonna remind you about the Trump diss track that Eminem did.,Donald Trump,Michigan
That's why he wants us to disband because he cannot withstand the fact we're not afraid of Trump.,Donald Trump,Michigan
"Fuck you, a little blunt vulgarity against Donald Trump by Eminem, that is a style and language Trump can understand.",Donald Trump,Michigan
"Thanks very much, i think tonight, really interesting job for Kamala Harris.",Kamala Harris,Michigan
"For a while now to a lot of people, I think she's an idea.",Kamala Harris,Michigan
"At the same time, she does have to run a centrist course.",Kamala Harris,Michigan
"This election is going to be decided by the middle, and she's got to make sure those centrist hear something that appeals to them.",Kamala Harris,Michigan
Kamala Harris is going to have to find a way to thread that needle.,Kamala Harris,Michigan
"That's where she has to stay and she has to appeal, while at the same time showing she understands what is happening to the Palestinian people.",Kamala Harris,Michigan
She was on The Daily Show.,Kamala Harris,Michigan
Tonight she actually takes the stage.,Kamala Harris,Michigan
"Talk about her presence in all of this and how important we're reminded again of how central Michigan is to this race, right: well, I think one thing everybody should realize right now is that Governor Whitmer is, for lack of a better way to say it, a rock star on the Democratic side.",Kamala Harris,Michigan
"You watch her appearances throughout the week at those caucuses, those state breakfasts.",Kamala Harris,Michigan
She was one of the most sought after people at those caucuses.,Kamala Harris,Michigan
I think she is speaking tonight and I think that's very interesting because she has an unusual appeal to independent voters.,Kamala Harris,Michigan
She is particularly good at it.,Kamala Harris,Michigan
"One of the interesting things also is she is, outside of Robert Kennedy, the most popular politician amongst Kennedy voters.",Kamala Harris,Michigan
I'm going to look for her to make an appeal to those centrists and those Kennedy voters in Michigan here tonight.,Kamala Harris,Michigan
"And like you heard, Bob, some of those supporters who are likely to lean Democratic are just not satisfied with the position of the Biden and now Harris campaign on those issues.",Kamala Harris,Michigan
They hoped her speech at the convention did some of that.,Kamala Harris,Michigan
Now listen to one supporter who said that he was going to switch to support Donald Trump instead of supporting Robert F. Kennedy.,Donald Trump,Michigan
He's supporting Trump.,Donald Trump,Michigan
"Very confident, and as we know, this is a critical part of the population that Donald Trump is aiming to court.",Donald Trump,Michigan
One of the things the Trump campaign did this year that I think was very sharp was it wasn't just out about dropping literature and putting up yard signs.,Donald Trump,Michigan
"We're getting to know people at the doors with our Trump Force 47 program where we're talking to people, swing low propensity voters who've never voted before.",Donald Trump,Michigan
"So, Levora, meantime, the Cook Poll also shows Harris with a three-point lead in Michigan that is within the margin of error.",Kamala Harris,Michigan
"So I wonder how you see this race changing since when we last spoke at the DNC for both Harris and your Senate candidate, Alyssa Stockton.",Kamala Harris,Michigan
Support for Donald Trump runs high here.,Donald Trump,Michigan
But there's also those who fear what the consequences will be if Trump is not elected.,Donald Trump,Michigan
"Before Donald Trump came on the scene, Barack Obama and the Democrats won Michigan handily.",Donald Trump,Michigan
"But the key is between 2012 and 2020, the Trump era, the state as a whole got a lot less Democratic.",Donald Trump,Michigan
"Who's voting for Kamala Harris here: absolutely, no.",Kamala Harris,Michigan
Why are you voting for Donald Trump: because my main goal is to get someone who is actively funding a genocide out of office.,Donald Trump,Michigan
Donald Trump has said he will reinstate the Muslim ban.,Donald Trump,Michigan
He said that last time.,Donald Trump,Michigan
He's said that he wants Netanyahu to finish the job.,Donald Trump,Michigan
Donald Trump said a lot of things his first time around that terrified me.,Donald Trump,Michigan
The campaign that the Democrats ran was that Donald Trump hates us.,Donald Trump,Michigan
Trump is definitely bad news for this country.,Donald Trump,Michigan
"So I would not, with a protest vote, vote for Trump, some would argue that a vote for Jill Stein is a vote for Donald Trump.",Donald Trump,Michigan
"And I will say, as we put the story together, I was hard pressed to find someone who was voting for Kamala Harris in the Lebanese community in Dearborn that would come on camera because of the fear of being targeted if they spoke out publicly about the way in which they wanted to offer their support.",Kamala Harris,Michigan
"And they compare it to 2016 when folks were voting for Donald Trump at the time of their community, and were not actually vocalizing it.",Donald Trump,Michigan
"David Plouffe, who's working for the Harris campaign, says all seven swing states are within one point.",Kamala Harris,Michigan
"So this may take a while, given the fact that David Plouffe, the senior advisor to the Harris campaign, Sarah says, some of these states are going to be decided by less than a percentage point.",Kamala Harris,Michigan
Harris is now sitting down with NBC for an interview that will air tonight.,Kamala Harris,Michigan
"She is also, of course, has a CNN town hall tomorrow, 9 p.m. with Anderson Cooper.",Kamala Harris,Michigan
And I imagine that is what you're gonna see her do.,Kamala Harris,Michigan
"You noted, I think she's sitting down with Telemundo.",Kamala Harris,Michigan
She's sitting down with NBC News.,Kamala Harris,Michigan
And they want to remind voters of that as they go into the voting booth.,Kamala Harris,Michigan
"Maybe some among people who identify as Republicans, but certainly among independent voters who have previously voted Republican, mostly on economic issues, but find Trump a threat to their rights, their values, and a receptive to the message that he's a threat to democracy itself.",Donald Trump,Michigan
"Doug, to what extent are these, the swing voters, the Haley voters, maybe from the primary, so by the way, weren't all registered Republicans, yeah, look, you're talking about the same subset of voters, right: some of them are registered Republicans, some of them are independent, and they're looking for, as Ron said, that permission structure to vote for Harris, but they also wanna hear from Kamala Harris.",Kamala Harris,Michigan
Who are you and what do you wanna do: and I think that the real vulnerability for the Harris campaign here is that age-old question of the devil you know versus the devil you don't know.,Kamala Harris,Michigan
"There's a little town just outside Detroit of about 100,000 people where something very serious actually is happening because while it might seem like Gaza is a long, long way from us here in Michigan, there is one group in this really key swing state that is so upset at the Biden administration's handling of the crisis that they may just deliver this state for Donald Trump.",Donald Trump,Michigan
"So if there is a big third party result and that leads to Trump winning Michigan and then through that winning the White House, how do you think the community will feel about that: i think they'll be quite happy.",Donald Trump,Michigan
I voted for Donald Trump.,Donald Trump,Michigan
"So why vote for Donald Trump: i do not forgive the Democrats for allowing this to happen, for funding it.",Donald Trump,Michigan
"There's no doubt about that, there is a really strong sense here that Carmilla Harris is simply off the table.",Kamala Harris,Michigan
"Now, that's not going to be true for everyone, she will get some votes in Dearborn amongst the Muslim community.",Kamala Harris,Michigan
"And it was devastating, it just said, are you better off: vote Trump.",Donald Trump,Michigan
I spent today talking to some auto workers who are going to vote for Donald Trump.,Donald Trump,Michigan
"But of course, to your point, Matt, we saw Kamala Harris speaking for the administration yesterday following the SINWR death announcement.",Kamala Harris,Michigan
"She'll be, by the way, headed to Lansing to a GM plant.",Kamala Harris,Michigan
"Let's first, Joe, take a listen to what Trump had to say at that Alice Smith dinner.",Donald Trump,Michigan
Kamala now sees the benefit of deportation.,Kamala Harris,Michigan
She wants to deport people.,Kamala Harris,Michigan
"She's vicious, she wants to deport people.",Kamala Harris,Michigan
And she wants to start by deporting Brett Baer Fox.,Kamala Harris,Michigan
"He's much funnier, unscripted, you've got to go for a few rounds at the comedy cellar, you know, anyways, Joe, what did you make of last night: of course, Vice President Harris was not there.",Kamala Harris,Michigan
"She called out her husband for having an affair, and Tim Walz for not being a real man.",Kamala Harris,Michigan
"Look, he's leading Kamala Harris among Catholic voters.",Kamala Harris,Michigan
"If Donald Trump does not win this election, though, expect him to point back to these numbers to call into question the final result.",Donald Trump,Michigan
Donald Trump's chances of winning Michigan have increased in the past week.,Donald Trump,Michigan
"As early voting starts on October 26, the momentum is with Donald Trump.",Donald Trump,Michigan
"If we look at the changes over the past month, Trump's numbers have slightly decreased.",Donald Trump,Michigan
"Looking at favorability ratings, Trump stands at 49% positive and 50% negative, which gives him a net favorability of minus 1%.",Donald Trump,Michigan
"On the other hand, Harris has a much higher negative rating at 54%, compared to her 45% positive, which leaves her with a net favorability of minus 9%.",Kamala Harris,Michigan
"However, Trump's numbers have been improving with a 0.5% increase over the last week and a 1.9% increase since last month.",Donald Trump,Michigan
The Harris campaign has privately expressed concerns about losing Michigan.,Kamala Harris,Michigan
This scenario has raised alarms within the Harris camp as the Midwest becomes increasingly competitive.,Kamala Harris,Michigan
"Additionally, Sky News reports that Arab American voters in Michigan are turning to Donald Trump, viewing him as a wild card candidate.",Donald Trump,Michigan
But support for Donald Trump isn't just growing in Michigan because it's spreading across the crucial swing states that will determine the outcome of the 2024 election.,Donald Trump,Michigan
The Economist projections also reflect Trump's improving chances.,Donald Trump,Michigan
Harris's chances have decreased by 9 points over the past week.,Kamala Harris,Michigan
"These national polls and simulations show that Trump's momentum is not limited to Michigan or the swing states, but is reflected in broader national trends and projections.",Donald Trump,Michigan
"We had primary elections and then Vice President Kamala Harris announced her running mate, Tim Waltz, the governor of Minnesota.",Kamala Harris,Michigan
"You know, I know that of the group of people she was considering that she had a lot of great choices.",Kamala Harris,Michigan
So he's going to be a fantastic Vice President to President Harris.,Kamala Harris,Michigan
"So I was going to support whomever, Vice President Harris picked.",Kamala Harris,Michigan
"And I want to make sure that we elect President Harris, but also elect a U.S. Senator who's going to work with her, not try to undermine her agenda.",Kamala Harris,Michigan
"What's it going to take for the Harris and the Waltz ticket to secure Michigan this November, you know, it's not magic, right: it's showing up.",Kamala Harris,Michigan
She's going to set an agenda that gives everyone opportunity.,Kamala Harris,Michigan
And she recognizes how critical the state of Michigan is.,Kamala Harris,Michigan
So I anticipate we will see her and her running mate frequently here and we'll be on the ground doing everything we can.,Kamala Harris,Michigan
I feel like Donald Trump it would be my vote.,Donald Trump,Michigan
I feel like he's probably got a better edge.,Donald Trump,Michigan
Now we'll be voting for Kamala Harris for President of the United States.,Kamala Harris,Michigan
There's no question at the very least she will preserve our democracy and that's what this is about.,Kamala Harris,Michigan
