Sentence,Presidential_Candidate,State,Vote_1,Vote_2,Final_Sent
Both she and Donald Trump are so so focused on that state.,Donald Trump,Pennsylvania,-1,0,-1
Trump has a pretty good shot at winning back some other states.,Donald Trump,Pennsylvania,1,1,1
"During and after the debate, Donald Trump seemed to be on the defense.",Donald Trump,Pennsylvania,0,1,0
"You know, on the other side, Donald Trump, he is really leaning into his traditional base of support.",Donald Trump,Pennsylvania,0,1,0
He's talked about the strain on health care and housing.,Donald Trump,Pennsylvania,0,1,0
"But it was interesting, ABC got an interview with him and he also talked about how Trump's words are not helping.",Donald Trump,Pennsylvania,0,1,0
"The boy's father has also spoken out, really asking Trump to stop.",Donald Trump,Pennsylvania,0,-1,0
"We do know that when Trump was president, he worked to try to overturn temporary protective status, those sort of visas for Haitian immigrants.",Donald Trump,Pennsylvania,-1,0,-1
Kamala Harris is trying to juice the margins.,Kamala Harris,Pennsylvania,1,0,0
I don't think she understands Pennsylvania.,Kamala Harris,Pennsylvania,-1,0,-1
"Here is one thing that she is going to do, legalize recreational marijuana for black Americans.",Kamala Harris,Pennsylvania,1,0,0
Kamala having a tough time in Pennsylvania.,Kamala Harris,Pennsylvania,-1,-1,-1
"Inside Team Harris's unusual levels of finger pointing, which is very typical for these people, where there's no leadership at all.",Kamala Harris,Pennsylvania,-1,-1,-1
"They say that some Harris aides lack relationships with key party figures, particularly in Philadelphia and its suburbs.",Kamala Harris,Pennsylvania,0,1,0
"Which is strange, because Kamala is a person of color, and they tell us that that's super important.",Kamala Harris,Pennsylvania,0,1,0
"They say, lacks a deep knowledge of Philadelphia, where Kamala must drive voter turnout in order to win.",Kamala Harris,Pennsylvania,0,1,0
"Kamala has a lot going on here, man.",Kamala Harris,Pennsylvania,0,0,0
Now Harris's path to victory depends on her ability to turn out the Democratic voters of Philly.,Kamala Harris,Pennsylvania,0,1,0
"One Democrat said, I feel like we're going to win here, but we're going to win in spite of Harris's campaign, says Pennsylvania is such a mess and it's incredibly frustrating.",Kamala Harris,Pennsylvania,-1,-1,-1
"All right, so use the proper labels, now the Harris campaign provided a list of politico of several examples of surrogate events aimed at engaging voters of color, actress America and Ferrera and others are all going to be there.",Kamala Harris,Pennsylvania,0,1,0
Kamala Harris is going to create an opportunity agenda for black men.,Kamala Harris,Pennsylvania,0,1,0
"So when Trump said the word black jobs, remember they lambasted him for that.",Donald Trump,Pennsylvania,-1,0,-1
Now she's good paying jobs for black men which I think is different.,Donald Trump,Pennsylvania,0,1,0
And if black men weren't excited about that enough because Kamala Harris is going to be creating new opportunities.,Kamala Harris,Pennsylvania,1,1,1
So says Kamala Harris will legalize recreational marijuana breaking down unjust barriers that hold black men and other Americans back and making sure black Americans have opportunities to succeed as the marketplace takes shape.,Kamala Harris,Pennsylvania,1,1,1
Well she prosecuted black men for marijuana and other drug crimes.,Kamala Harris,Pennsylvania,-1,-1,-1
So we'll see how it works out for her.,Kamala Harris,Pennsylvania,-1,0,0
The hip hop community needs to hear more from VP Harris about what is her plans and plans of action for black males.,Kamala Harris,Pennsylvania,-1,0,0
A lot of black males are not into the Harris campaign.,Kamala Harris,Pennsylvania,-1,0,-1
So yeah they're just not into Kamala Harris.,Kamala Harris,Pennsylvania,-1,1,-1
The former first lady has been working behind the scenes to boost Harris and they're expected to have her appear on the campaign trail but it hasn't happened yet.,Kamala Harris,Pennsylvania,0,1,0
Trump is taking Pennsylvania.,Donald Trump,Pennsylvania,1,0,0
"There's still an inside straight she could get, but largely if Trump takes Pennsylvania, he's got this.",Donald Trump,Pennsylvania,0,1,1
She compared it to big tobacco saying they knew the effects of climate change.,Kamala Harris,Pennsylvania,0,0,0
"That's Democrats, they love using law fair to get their agenda done, but that's CNN burning on Kamala Harris.",Kamala Harris,Pennsylvania,-1,1,-1
"Here's Time Magazine, harris declined repeated request for an interview for this story.",Kamala Harris,Pennsylvania,-1,0,0
"So Kamala Harris unprecedented hidden, but she gets real brave when it comes down to destroying oil and fracking in Pennsylvania.",Kamala Harris,Pennsylvania,0,-1,0
"She's now lying, and she hasn't given a reason why she changed her position.",Kamala Harris,Pennsylvania,-1,-1,-1
"Yeah, she's flip flopped on a lot of issues related to energy.",Kamala Harris,Pennsylvania,-1,1,-1
She said she was going to ban plastic straws.,Kamala Harris,Pennsylvania,0,-1,0
She said she was going to ban fracking.,Kamala Harris,Pennsylvania,0,-1,0
And she said she would eliminate the filibuster to pass the Green New Deal now.,Kamala Harris,Pennsylvania,-1,0,0
"Now, why isn't she telling you the truth about her positions and her goals: but again, CNN is done with her garbage.",Kamala Harris,Pennsylvania,-1,1,-1
"Why do you think CNN is putting distance between them and Harris, do they not smell the looze already: they don't want to be part of it.",Kamala Harris,Pennsylvania,-1,-1,-1
They were exaggerating to help Kamala Harris.,Kamala Harris,Pennsylvania,0,1,0
But it's not just Kamala Harris that's getting smashed by media.,Kamala Harris,Pennsylvania,-1,0,-1
Ask her why she only goes on programs of people too weak to actually challenge her.,Kamala Harris,Pennsylvania,-1,-1,-1
"Here's the poly market, trump is higher than ever.",Donald Trump,Pennsylvania,1,0,0
"This just released, pennsylvania has flipped for Trump.",Donald Trump,Pennsylvania,1,0,0
Has Donald Trump up three: their polls in Pennsylvania in 2020 were amazing.,Donald Trump,Pennsylvania,1,1,1
Now Trump is plus three in Pennsylvania and you do have the Senate very close with Casey only up by two over McCormick.,Donald Trump,Pennsylvania,1,0,0
Some of these swing states really tightening some of them like Michigan and Pennsylvania flipping to where Trump is leading and Wisconsin is basically tied.,Donald Trump,Pennsylvania,0,1,0
"I mean, he's starting to lead all these states and these are, these are really good polling numbers for Trump in states like Pennsylvania where the margin is going to be very slim, but if you get a plus three, a plus four, you will have the overall edge in terms of the aggregate.",Donald Trump,Pennsylvania,1,1,1
"And really, I thought there was going to be some correction and maybe there was some slight correction cause Trump went up by about 12 and it's come back down a little bit.",Donald Trump,Pennsylvania,0,0,0
"But nonetheless, you are seeing Trump, this is very healthy.",Donald Trump,Pennsylvania,1,1,1
"Either way, Donald Trump looks really, really good right now, especially in Pennsylvania with that new poll.",Donald Trump,Pennsylvania,1,1,1
"You had a plus three, remember, Trump basically swept all the swing states.",Donald Trump,Pennsylvania,1,0,0
"If you're a Republican, there would have to be a crazy deviation that we haven't seen in over two decades for it to signal a Harris victory because if she wins the popular vote by a point, she's not winning the electoral college even with the recent shifts we're going to that we've seen in New York and possibly Illinois and California and Florida and all of those states are getting more conservative.",Kamala Harris,Pennsylvania,0,1,0
"And we do know that even if Trump wins Pennsylvania by two and a half to three, that's still a close race.",Donald Trump,Pennsylvania,0,1,0
She was three and a half years as VP.,Kamala Harris,Pennsylvania,-1,0,0
She was one of the most unlikable VPs ever.,Kamala Harris,Pennsylvania,-1,0,-1
"He's maintaining a big lead, which I didn't even expect.",Donald Trump,Pennsylvania,1,0,1
"There's been no correction, trump is maintaining a 10 point lead.",Donald Trump,Pennsylvania,0,-1,0
"And I think people just realized that if you factor in all the data in 2016, 2020, you get this new Raspies and pull Trump three plus three in Pennsylvania.",Donald Trump,Pennsylvania,1,0,0
"It's going to be the, this is the best Trump is polling by far.",Donald Trump,Pennsylvania,1,1,1
What was it: nBC that had Harris plus six.,Kamala Harris,Pennsylvania,0,0,0
Now they've got Harris plus two.,Kamala Harris,Pennsylvania,-1,0,0
Trump's winning over 300 electoral votes based on electoral math.,Donald Trump,Pennsylvania,0,1,0
Would you look at that Rasmussen: it bumps Trump up.,Donald Trump,Pennsylvania,1,0,0
"See, once they drop that Bloomberg out, it Trump's going to go up to like a point.",Donald Trump,Pennsylvania,0,1,0
"I'm telling you, but Trump's not sitting plus point three.",Donald Trump,Pennsylvania,1,0,0
Trump sitting plus point three.,Donald Trump,Pennsylvania,1,0,0
They've got Trump up by two.,Donald Trump,Pennsylvania,1,0,0
I'm excited to see Kamala Harris continue that and take that campaign to western Pennsylvania.,Kamala Harris,Pennsylvania,0,1,1
"Does she need to differentiate herself a little bit, show maybe a specific vision that is separate from the work that she had as vice president underneath President Biden: look, she's going to be her own candidate, and she is.",Kamala Harris,Pennsylvania,0,1,0
I saw it in Philadelphia when she and Governor Walz fired up that crowd in Philly.,Kamala Harris,Pennsylvania,0,-1,0
"What's your reaction to that, does she need to do a bit of a better job selling her vision for the economy, does she need to introduce that to voters: she's been our nominee now only for a few weeks, so of course you've got some campaigning to do.",Kamala Harris,Pennsylvania,0,1,0
"And folks know that Vice President Harris has been part of administrations, been standing up for working people and standing up for folks' freedom.",Kamala Harris,Pennsylvania,1,1,1
"That's the job, i think folks saw the way Donald Trump did that job, which is why we kicked him out of office after four years.",Donald Trump,Pennsylvania,-1,0,-1
"Vice President Harris, I am sure, is going to be open with the press.",Kamala Harris,Pennsylvania,0,1,0
So that's the right decision for Vice President Harris to make.,Kamala Harris,Pennsylvania,1,0,0
"And frankly, the fact that she has so strong support from the union movement, from folks in labor, tells you about her values, tells you about who she is as a candidate and why labor is going to be showing up for her in Pennsylvania come November.",Kamala Harris,Pennsylvania,1,1,1
I don't forget the insurrection he tried to lead and failed at leading.,Donald Trump,Pennsylvania,-1,-1,-1
"So no, we're not going back to that, i'm going to do everything I can to make sure that guy never steps foot in the White House again and we're going to deliver a win for Vice President Harris in Pennsylvania.",Kamala Harris,Pennsylvania,0,1,0
"No Republican ever won Erie, and but he did.",Donald Trump,Pennsylvania,0,1,0
"You see the Trump enthusiasm, but even in the city of Pittsburgh, I'm seeing all of these Trump signs in places and neighborhoods they should not be.",Donald Trump,Pennsylvania,-1,0,-1
Donald Trump is increasingly unstable and unhinged by all-time favorite chart and let's listen to Pavarotti sing Ave Maria.,Donald Trump,Pennsylvania,-1,1,-1
He blamed a lack of air conditioning and called for music to be played.,Donald Trump,Pennsylvania,-1,-1,-1
"She had a really sort of burst of momentum, you know, through her coalescing that support through the DNC, the Democratic National Convention where, you know, she officially took officially became the nominee through the debate.",Kamala Harris,Pennsylvania,1,1,1
"Small stuff like 60 Minutes, but also non-traditional podcasts and radio shows, i mean, she's clearly trying to do something to shake the race up.",Kamala Harris,Pennsylvania,0,1,0
"Well, ladies and gentlemen, we are getting some real early voting data this time out of Pennsylvania, Donald Trump flipping a very important county.",Donald Trump,Pennsylvania,1,1,1
And also the fact that I expect Donald Trump to just win independence in Pennsylvania and really all these swing States.,Donald Trump,Pennsylvania,-1,0,-1
"Donald Trump doing so much better in terms of voter registration, early voting, all of the counties compared to what's going on with the Democrats to where they're literally signing artillery shells in a factory in Pennsylvania that are being used to escalate or potential World War three scenario.",Donald Trump,Pennsylvania,1,-1,1
"We're going to get that again, call us racist when we elect Trump.",Donald Trump,Pennsylvania,-1,-1,-1
"Oh, that's great news, trump is doing a rally in Pennsylvania tonight.",Donald Trump,Pennsylvania,1,1,1
So Trump is going to be doing a rally.,Donald Trump,Pennsylvania,1,0,0
He's flipping all these counties.,Donald Trump,Pennsylvania,1,0,0
This is an illustration of why Donald Trump is going to win the state of Pennsylvania.,Donald Trump,Pennsylvania,1,1,1
"Trump is doing better, it's just like Virginia to where all the top counties, they're all Republican and Trump is doing very well in Pennsylvania right now.",Donald Trump,Pennsylvania,1,1,1
"Trump can win the election without even knowing if he won Pennsylvania, if he wins some other important states.",Donald Trump,Pennsylvania,0,1,0
"But even without Pennsylvania and Wisconsin, Trump can still win the election and it can be decided by about 2 a.m. with a call by all the major networks.",Donald Trump,Pennsylvania,0,1,0
"But again, Trump can win the election without Pennsylvania.",Donald Trump,Pennsylvania,0,1,0
"This is going to be better than 2020, so maybe there still is a chance that these states do get called at around two or three a.m. If Trump can win Pennsylvania by two or three points, I think it is possible.",Donald Trump,Pennsylvania,1,1,1
"But either way, right now, Pennsylvania looks very good for Trump.",Donald Trump,Pennsylvania,1,1,1
"The early voting looks very good, he's flipping counties and you've got Democrats, you know, signing artillery shells to be used as an escalation force to trend to World War Three.",Donald Trump,Pennsylvania,1,0,1
"This is not good stuff, the people of Pennsylvania, they see this and they see the attacks that Trump is under.",Donald Trump,Pennsylvania,-1,-1,-1
And that's why they're going to vote for him.,Donald Trump,Pennsylvania,1,0,0
"That's just the reality, we're going to be electing Trump because Trump is looking for a de-escalation of this war.",Donald Trump,Pennsylvania,1,-1,-1
"As Amar Moussa says, Trump is in deep trouble in Pennsylvania.",Donald Trump,Pennsylvania,-1,-1,-1
"If you just want to take a look at Donald Trump's performance in a number of these counties, Donald Trump is significantly underperforming as well in Pennsylvania.",Donald Trump,Pennsylvania,-1,1,-1
"And if you want to take a look at, look at Cumberland, Crawford, Donald Trump underperforming there as well.",Donald Trump,Pennsylvania,0,1,0
Trump is on track.,Donald Trump,Pennsylvania,1,0,0
That's about 30% of the GOP casting a protest vote against Donald Trump.,Donald Trump,Pennsylvania,-1,-1,-1
Trump is not winning Pennsylvania.,Donald Trump,Pennsylvania,-1,-1,-1
He's not winning this country.,Donald Trump,Pennsylvania,-1,-1,-1
"Donald Trump decided to give an interview in with the, the biggest Pennsylvania local media station, Action News.",Donald Trump,Pennsylvania,0,0,0
"When you do that, we'll teach Donald Trump and extreme migrant Republicans a valuable lesson.",Donald Trump,Pennsylvania,-1,0,-1
He calls her maggot Hagerman.,Donald Trump,Pennsylvania,-1,0,-1
And Trump says maggot Hagerman of the failing New York Times falsely reported that I was disappointed with the crowds.,Donald Trump,Pennsylvania,-1,-1,-1
"The beginning paragraph here in this article says when Vice President Kamala Harris ruled out her economic agenda, she went to Pittsburgh.",Kamala Harris,Pennsylvania,0,0,0
"When she unveiled her running mate, she went to Philly.",Kamala Harris,Pennsylvania,0,0,0
"Large population of black voters who Dems need to mobilize has fast-growing, highly educated, mostly white suburbs outside of Philadelphia and Pittsburgh, where Republicans have been bleeding support in the Trump years.",Donald Trump,Pennsylvania,0,1,0
We saw previously that we played here on the show about how the poor areas of Philadelphia are actually swinging at Trump.,Donald Trump,Pennsylvania,0,-1,0
"At the same time, Trump is such a unique figure that he's so much better and more appealing to Republican voters or even swing voters than in Oz or in a, or even a Dave McCormick, if you look at how much more he's running ahead of him, that maybe he's the only guy left in America who could still win of the state of Pennsylvania as a Republican.",Donald Trump,Pennsylvania,1,1,1
"And that's what helped Trump to spin his tails about how the election was stolen in, you know, Philadelphia, blah, blah, blah.",Donald Trump,Pennsylvania,0,-1,-1
"The other thing to point out about Pennsylvania is, you know, Trump just had his giant rally in Butler, Pennsylvania with Elon Musk.",Donald Trump,Pennsylvania,0,0,0
"New York Times interviewed some local supporters who were really energized, inspired by, you know, his reaction in that moment and decided, you know, not only am I gonna vote for him, I'm gonna volunteer, I'm gonna be a like precinct captain or whatever.",Donald Trump,Pennsylvania,1,1,1
"There have been a number of events, Harris interviews.",Kamala Harris,Pennsylvania,0,1,0
"A month ago, Harris was actually above water, as they say, 48 percent favorable and 45 percent negative a month ago.",Kamala Harris,Pennsylvania,0,-1,0
"Tasha Burns for us in Pennsylvania, thank you, Congressman Jolly, your reaction to Trump's messaging, what do you make of him talking about the enemy within: that Donald Trump is a dangerous leader and that we should have reason to fear his return to the White House because we should take him at his word.",Donald Trump,Pennsylvania,0,-1,0
"He clearly has these tendencies, strongman tendencies, but he is also saying that if he gets reelected, he will, he intends to act against his political opponents.",Donald Trump,Pennsylvania,0,1,0
He mentioned that perhaps he should revoke CBS broadcasting license.,Donald Trump,Pennsylvania,-1,0,0
"I think the most disconcerting part when you hear the most aggressive, darkest themes from Donald Trump is that you also have to consider that it reflects the support of a large portion of this country.",Donald Trump,Pennsylvania,-1,-1,-1
"I mean, he's never received over 50 percent, so it's not a majority of the country, but about 48 percent of the country is prepared to vote for Donald Trump and those messages.",Donald Trump,Pennsylvania,-1,1,-1
"You want to say rigged, you want to say he won.",Donald Trump,Pennsylvania,0,1,0
"And the Harris campaign really clipped that moment, pushed it out on social media.",Kamala Harris,Pennsylvania,0,0,0
"Voters, especially persuadable voters, want Harris to talk about the economy and immigration.",Kamala Harris,Pennsylvania,0,1,0
And yet she hasn't really been able to answer that question when it comes to her about how she would be different than Joe Biden.,Kamala Harris,Pennsylvania,-1,0,-1
"What's your view on this, will there be any guardrails for another Trump presidency: you've already talked about how he has already talked about going after his political opponents.",Donald Trump,Pennsylvania,-1,0,0
Donald Trump just mowed them over.,Donald Trump,Pennsylvania,-1,0,-1
He will use lawfare.,Donald Trump,Pennsylvania,1,0,0
He will use the Department of Justice.,Donald Trump,Pennsylvania,0,1,0
He will use the IRS to go after people.,Donald Trump,Pennsylvania,-1,0,-1
"And it's a huge one that she has a difference from Joe Biden, who really, frankly, was uncomfortable talking about this issue.",Kamala Harris,Pennsylvania,0,-1,0
They just don't want to go back to the chaos of the Trump years.,Donald Trump,Pennsylvania,0,-1,-1
How is Kamala Harris going to play in PA: it's going to be difficult if she continues with who she's been up until this point.,Kamala Harris,Pennsylvania,0,0,0
"Right, she is further left than Hillary.",Kamala Harris,Pennsylvania,1,0,0
"So Pittsburgh and Philadelphia, she will probably hit somewhere where Obama hit or Hillary hit.",Kamala Harris,Pennsylvania,1,0,0
"And you know, the other counties, that's where her challenge will be Erie County, North Hampton County, Cambria County.",Kamala Harris,Pennsylvania,0,1,0
She's against fracking.,Kamala Harris,Pennsylvania,-1,0,0
"Unless she does a John Kerry, I was for the Iraq war before I was against it, before I was for it, before I was against it.",Kamala Harris,Pennsylvania,-1,-1,-1
"And so they're challenged by that, and and so I don't think he takes it because it takes away his opportunity to not only finish out his first term and go into his second term, but also to prove himself to the people of the state.",Donald Trump,Pennsylvania,-1,0,-1
"All right, last question, Selena, do you think Democrats can hide the real Kamala Harris from America for 100 days: i mean, they're going to try.",Kamala Harris,Pennsylvania,0,-1,0
"Well, ladies and gentlemen, Donald Trump got a major victory in the state of Pennsylvania within the last 24 hours that could single handedly change the results of the election.",Donald Trump,Pennsylvania,1,1,1
"Pennsylvania, the Trump campaign and the RNC secured a major victory with the Pennsylvania Supreme Court this week.",Donald Trump,Pennsylvania,1,1,1
"Let's remember when it comes to October surprises, understand this with the Trump October surprise.",Donald Trump,Pennsylvania,0,1,0
"Don't you think Trump at that point being an incumbent, they would throw everything they had at Trump.",Donald Trump,Pennsylvania,-1,0,0
They wouldn't save anything because you would think that'd be the last time Trump would run.,Donald Trump,Pennsylvania,0,-1,-1
He was like the second highest donor to their campaign saying that they manipulated the election with big tech.,Donald Trump,Pennsylvania,-1,0,0
"But if you get Pennsylvania, North Carolina, Georgia, you win the election and Trump's got a better than 63% chance to win all of them.",Donald Trump,Pennsylvania,1,1,1
"And it's again, the same, the same script she used during the debate.",Kamala Harris,Pennsylvania,-1,0,-1
"Last night, Kamala Harris had a rally at like a preschool gym.",Kamala Harris,Pennsylvania,0,1,0
"That's how bad it's getting, but here she is.",Kamala Harris,Pennsylvania,-1,-1,-1
"Now everyone's for Kamala, but it's like they give they've given her a chip and the factory settings is this story.",Kamala Harris,Pennsylvania,0,1,0
Donald Trump is very well received with the Amish to give you an idea.,Donald Trump,Pennsylvania,1,1,1
They like the economy under Donald Trump.,Donald Trump,Pennsylvania,0,1,0
"It's amazing, i'm going to tell you, this is the first time I've seen a Trump sign being a flag being flown on the back of a buggy from the horse and buggy from the Amish country.",Donald Trump,Pennsylvania,1,1,1
"A lot of people don't realize this, but outside of Philadelphia and Pittsburgh, it is Trump country.",Donald Trump,Pennsylvania,1,0,0
And they just have a lot of admiration for Donald Trump and the family.,Donald Trump,Pennsylvania,0,1,0
"But on actual votes, let me just tell you the people that work in the steel mill in Stilton, the people that work in the factories across Pennsylvania, the people that work at the U.S. Army War College in Carlisle, Pennsylvania, whether they're Democrat or Republican, this is what they know under Kamala Harris.",Kamala Harris,Pennsylvania,0,-1,0
"And they don't know why they should trust Kamala Hara, who's had four years to do something and hasn't done anything and now is acting like she's going to change all this around.",Kamala Harris,Pennsylvania,-1,1,-1
"Because if Kamala can't win Pennsylvania, she's not winning.",Kamala Harris,Pennsylvania,-1,-1,-1
"And if Trump wins Pennsylvania, it's over.",Donald Trump,Pennsylvania,-1,1,-1
"All right, we see Harris, Heels Up Harris is an average lead of 0.6 percent.",Kamala Harris,Pennsylvania,-1,0,0
"And that's based on these two right here, Quinnipiac and the New York Times, which has Harris up five and four.",Kamala Harris,Pennsylvania,0,0,0
She is the Vice President of the United States for having a sake.,Kamala Harris,Pennsylvania,0,1,0
"That's pretty big, man, one of the negatives on this poll is that they interview three quarters are white, all right, and generally speaking, the whites are gonna vote for Trump.",Donald Trump,Pennsylvania,-1,1,-1
Trump needs over 60% of the white vote to win.,Donald Trump,Pennsylvania,0,1,0
"There's just no other way around, he's got, if Trump could get 65% of the white vote, he's not losing.",Donald Trump,Pennsylvania,-1,0,0
"So we have more women than men, more rich people than Trump's base and whites.",Donald Trump,Pennsylvania,0,1,0
"We see 46, 46, heels up to Trump.",Donald Trump,Pennsylvania,0,0,0
47% voted for Donald Trump.,Donald Trump,Pennsylvania,1,0,0
The Harris Waltz campaign is doing a Labor Day blitz with some help from President Biden.,Kamala Harris,Pennsylvania,0,1,0
"State Democrats are looking to keep not that competitive this November, but they know that the working class type of voter, that archetype is something that has historically been at least curious about former President Trump.",Donald Trump,Pennsylvania,0,1,0
"There's one big survey out Sunday, it's suggested Harris got no notable convention polling bounce, which I don't think is a complete surprise because, you know, once she shifted to the top of the ticket, there was this ground swell of enthusiasm, which, you know, one could say that would have been what happened after perhaps the DNC, instead she got it before.",Kamala Harris,Pennsylvania,0,1,0
We know that she's going to be obviously traveling today.,Kamala Harris,Pennsylvania,0,0,0
She's going to New Hampshire on Wednesday.,Kamala Harris,Pennsylvania,0,0,0
"They said, quote, policy flip flops have put Vice President Camilla Harris in a in a hot seat in the key battleground state of Pennsylvania with energy workers telling Fox News that, quote, nobody believes her change of heart on fracking.",Kamala Harris,Pennsylvania,-1,-1,-1
"So yesterday I went to the swing state of Pennsylvania to the town of Zelia, Nopal to speak with word energy workers who say they don't trust Harris and her flip flops on fracking.",Kamala Harris,Pennsylvania,-1,-1,-1
It's much easier to work under a Trump administration than this administration by far.,Donald Trump,Pennsylvania,0,1,0
"Why should America: and that's why, and that's one of Donald Trump's key policy positions is to lower, get rid of the regulations.",Donald Trump,Pennsylvania,0,-1,0
Haskemilla Harris holding a narrow one point lead within the margin of error for most polls.,Kamala Harris,Pennsylvania,0,-1,0
But the last couple of polls you will note have Trump starting to take the lead back.,Donald Trump,Pennsylvania,-1,0,0
We begin with the race for the White House where former President Barack Obama hit the campaign trail for Kamala Harris in the key battleground state of Pennsylvania on Thursday.,Kamala Harris,Pennsylvania,0,-1,0
"Addressing the buzzing crowds in Pittsburgh, Barack Obama delivered some of his most personal and furious criticisms of Donald Trump.",Donald Trump,Pennsylvania,0,-1,0
"Speaking to a large audience of men and men of color, President Obama urged them to do the right thing and vote for Kamala Harris.",Kamala Harris,Pennsylvania,1,0,1
"I'm sorry gentlemen, I've noticed this especially with some men who seem to think Trump's behavior, the bullying and the putting people down is a sign of strength.",Donald Trump,Pennsylvania,-1,-1,-1
"Taking shots at the Republican presidential nominee, the former president called Donald Trump a whiny old billionaire who is obsessed with himself.",Donald Trump,Pennsylvania,-1,-1,-1
"I've said it before, Donald Trump is a 78 year old billionaire who has not stopped whining about his problems since he rode down his golden escalator nine years ago.",Donald Trump,Pennsylvania,-1,-1,-1
The 44th president known for his calm and cool demeanor expressed a burst of emotions rarely seen as he accused Donald Trump of threatening America's democracy.,Donald Trump,Pennsylvania,0,-1,0
"One that helps us work together instead of turning against each other, pennsylvania, we're ready for President Kamala Harris.",Kamala Harris,Pennsylvania,1,1,1
President Obama's appearance on the campaign trail showing support for Kamala Harris comes at a crucial time.,Kamala Harris,Pennsylvania,0,1,1
The race is still too close to call and the Harris campaign is deploying its big guns to help seal the deal.,Kamala Harris,Pennsylvania,0,1,0
Former President Bill Clinton is also expected to hit the campaign trail for Harris as both sides make their closing arguments to the voters.,Kamala Harris,Pennsylvania,0,-1,0
"Yesterday, Donald Trump's town hall event just outside of Philadelphia was seemingly cut short when members of the crowd fainted.",Donald Trump,Pennsylvania,-1,-1,-1
"Donald Trump, on the other hand, in a town hall outside of Philadelphia held an event where he was focused on support from suburban women.",Donald Trump,Pennsylvania,0,1,0
"There were a couple of people who needed medical assistance, and he commented on that.",Donald Trump,Pennsylvania,0,0,0
"Kamala Harris will be looking to do really well in not just Pittsburgh and Philadelphia and their suburbs, but also in some of the smaller cities.",Kamala Harris,Pennsylvania,-1,1,1
Kamala doesn't give a frack about you.,Kamala Harris,Pennsylvania,-1,0,-1
"She's accusing Vice President Kamala Harris of flip-flopping on fracking, which she now says she will not ban.",Kamala Harris,Pennsylvania,-1,1,-1
Harris is making her own play for rural Republicans with ads like this one.,Kamala Harris,Pennsylvania,0,1,0
They've already made up their minds for Harris.,Kamala Harris,Pennsylvania,0,0,0
She's backing Trump.,Donald Trump,Pennsylvania,1,0,0
"Some are just built different, like, Amish Trump parades in Pennsylvania with horse and buggy and Trump flag.",Donald Trump,Pennsylvania,0,1,0
Donald Trump is your president.,Donald Trump,Pennsylvania,1,0,0
"This energy and your black filling, look at this, here's Donald Trump last night in Pennsylvania with the Amish behind him, these dudes, that's great.",Donald Trump,Pennsylvania,1,1,1
"The senator from Pennsylvania, John Fetterman, warns Democrats that Donald Trump is far more popular in Pennsylvania than they think.",Donald Trump,Pennsylvania,0,1,0
Senator John Fetterman warned Democrats President Donald Trump is more popular in Pennsylvania.,Donald Trump,Pennsylvania,0,1,0
Trump is going to be strong in Pennsylvania.,Donald Trump,Pennsylvania,1,1,1
"Think about that, john Fetterman went on to to say he was going to vote for Donald Trump.",Donald Trump,Pennsylvania,0,0,0
And what sounds like he's saying he's going to vote for Trump.,Donald Trump,Pennsylvania,0,1,0
"When you hear it, what you hear is he's talking to Pennsylvania voters saying that they don't like Trump style, but they're going to vote for him anyway.",Donald Trump,Pennsylvania,0,-1,0
This isn't John Fetterman saying he's going to vote for Trump.,Donald Trump,Pennsylvania,0,0,0
I don't think John Fetterman saying he's going to vote for Trump.,Donald Trump,Pennsylvania,0,0,0
"Trump is going to be strong, and that's we have to respect that.",Donald Trump,Pennsylvania,1,1,1
"Compressors been working so hard, donald Trump putting in the work also in Pennsylvania.",Donald Trump,Pennsylvania,1,0,1
A ton of his planned or recent stops have been in Pennsylvania.,Donald Trump,Pennsylvania,0,-1,0
What does Trump say when he's there: he's just freaking hilarious.,Donald Trump,Pennsylvania,1,0,1
"Why do you think people love Trump: your job, which is a good job, an energy job.",Donald Trump,Pennsylvania,-1,0,-1
You know that she's never said frack in her life just a short while ago when she realized her poll numbers were dying in Pennsylvania.,Kamala Harris,Pennsylvania,-1,0,-1
"The legend, we'll never get one like Trump again.",Donald Trump,Pennsylvania,1,-1,1
"In Pennsylvania, Trump winning by 30 plus points.",Donald Trump,Pennsylvania,0,1,0
"What does that mean: it means now now corporate polls are showing that Donald Trump is back, baby.",Donald Trump,Pennsylvania,0,0,0
"Donald Trump's back ahead, now starts the surge.",Donald Trump,Pennsylvania,1,0,0
"Hey, Donald Trump is your president.",Donald Trump,Pennsylvania,1,0,0
"Because you know, this Trump train don't stop.",Donald Trump,Pennsylvania,-1,0,-1
Today Kamala Harris unveiling a new plan to cover in-home health care for seniors.,Kamala Harris,Pennsylvania,0,1,0
"So things have certainly gotten better for Kamala Harris than they were for Biden, but I think it's still advantage Republican.",Kamala Harris,Pennsylvania,0,1,1
"If if Donald Trump does not win the election, do you think he's going to admit that he lost: i don't think so.",Donald Trump,Pennsylvania,0,-1,-1
"Not to be confused with Kamala Harris, but the poll shows that this race nationally is a dead heat.",Kamala Harris,Pennsylvania,0,-1,0
They dropped a poll with Trump leading by three percentage points.,Donald Trump,Pennsylvania,1,0,0
Now they have Donald Trump leading by three points and we got a poll from the New York Times that shows the opposite.,Donald Trump,Pennsylvania,0,0,0
